OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,X_COTIZADO,Y_COTIZADO,X_PENDIENTE,Y_PENDIENTE,DISTANCIA,CODIGO_PENDIENTE,CODIGO_COTIZADO,CODIGO_N,ZONAL,JEFATURA,EE_CC
1,5,2917,75.85921891526814,1,-70.23738774999998,-17.98301160999995,-70.23784756999999,-17.983537100999968,75.86,2019-05-118975,2019-02-102094,ClusterSimple_2019-05-118975,TACNA,TACNA,EZENTIS
2,5,4725,283.9265863603261,2,-70.23519036999994,-17.983198139999956,-70.23784756999999,-17.983537100999968,283.93,2019-05-118975,2019-03-108846,ClusterSimple_2019-05-118975,TACNA,TACNA,EZENTIS
3,6,959,281.76335592355446,1,-71.32730479999998,-17.64703959999997,-71.32810689999997,-17.64946650099995,281.76,2019-05-119758,2019-01-91024,ClusterSimple_2019-05-119758,TACNA,TACNA,EZENTIS
4,6,4707,393.3020994546768,2,-71.32698856999997,-17.65285450999994,-71.32810689999997,-17.64946650099995,393.3,2019-05-119758,2019-03-108811,ClusterSimple_2019-05-119758,TACNA,TACNA,EZENTIS
5,9,4945,492.7117211149062,1,-70.96178701999997,-17.211924599999975,-70.95719999999994,-17.211304000999974,492.71,2019-05-120501,2019-03-109610,ClusterSimple_2019-05-120501,TACNA,TACNA,EZENTIS
6,11,1785,26.79787287647484,1,-72.71073399999995,-16.62238199999996,-72.71048922299997,-16.622327757999926,26.8,2019-05-120253_2019-05-120828,2019-01-95308,SuperCluster_2019-05-120253_2019-05-120828,AREQUIPA,AREQUIPA,EZENTIS
7,11,2794,62.63078022080274,2,-72.71005999999994,-16.62194169999998,-72.71048922299997,-16.622327757999926,62.63,2019-05-120253_2019-05-120828,2019-02-101625,SuperCluster_2019-05-120253_2019-05-120828,AREQUIPA,AREQUIPA,EZENTIS
8,11,4609,144.55966432333773,3,-72.70979127999993,-16.62344737999996,-72.71048922299997,-16.622327757999926,144.56,2019-05-120253_2019-05-120828,2019-03-108532,SuperCluster_2019-05-120253_2019-05-120828,AREQUIPA,AREQUIPA,EZENTIS
9,11,6031,175.956507429775,4,-72.70955289999995,-16.621018899999967,-72.71048922299997,-16.622327757999926,175.96,2019-05-120253_2019-05-120828,2019-04-115326,SuperCluster_2019-05-120253_2019-05-120828,AREQUIPA,AREQUIPA,EZENTIS
10,11,194,292.01220928930786,5,-72.70933299999996,-16.61993609999996,-72.71048922299997,-16.622327757999926,292.01,2019-05-120253_2019-05-120828,2018-12-87217,SuperCluster_2019-05-120253_2019-05-120828,AREQUIPA,AREQUIPA,EZENTIS
11,11,6569,300.97735248432303,6,-72.71195560999996,-16.624651119999953,-72.71048922299997,-16.622327757999926,300.98,2019-05-120253_2019-05-120828,2019-05-118985,SuperCluster_2019-05-120253_2019-05-120828,AREQUIPA,AREQUIPA,EZENTIS
12,12,2722,60.875569663536986,1,-71.84270111999996,-16.493861739999943,-71.84315655999995,-16.493530790999955,60.88,2019-05-118984,2019-02-101316,ClusterSimple_2019-05-118984,AREQUIPA,AREQUIPA,EZENTIS
13,12,963,113.14460774163065,2,-71.84214485999996,-16.493835099999956,-71.84315655999995,-16.493530790999955,113.14,2019-05-118984,2019-01-91033,ClusterSimple_2019-05-118984,AREQUIPA,AREQUIPA,EZENTIS
14,12,2882,180.66036377121938,3,-71.84484824999998,-16.493566209999926,-71.84315655999995,-16.493530790999955,180.66,2019-05-118984,2019-02-101988,ClusterSimple_2019-05-118984,AREQUIPA,AREQUIPA,EZENTIS
15,12,2933,275.3541818127467,4,-71.84461108999994,-16.495585509999955,-71.84315655999995,-16.493530790999955,275.35,2019-05-118984,2019-02-102168,ClusterSimple_2019-05-118984,AREQUIPA,AREQUIPA,EZENTIS
16,12,5464,450.5208787003107,5,-71.84060599999998,-16.49677399999996,-71.84315655999995,-16.493530790999955,450.52,2019-05-118984,2019-03-111975,ClusterSimple_2019-05-118984,AREQUIPA,AREQUIPA,EZENTIS
17,12,6503,450.5208787003107,5,-71.84060599999998,-16.49677399999996,-71.84315655999995,-16.493530790999955,450.52,2019-05-118984,2019-05-118702,ClusterSimple_2019-05-118984,AREQUIPA,AREQUIPA,EZENTIS
18,12,4422,450.5854214113712,6,-71.84060499999998,-16.49677399999996,-71.84315655999995,-16.493530790999955,450.59,2019-05-118984,2019-03-107974,ClusterSimple_2019-05-118984,AREQUIPA,AREQUIPA,EZENTIS
19,12,5544,450.5854214113712,6,-71.84060499999998,-16.49677399999996,-71.84315655999995,-16.493530790999955,450.59,2019-05-118984,2019-03-112356,ClusterSimple_2019-05-118984,AREQUIPA,AREQUIPA,EZENTIS
20,15,4251,20.241167094473038,1,-71.51210528999997,-16.452320889999953,-71.51191623999995,-16.45233405099998,20.24,2019-05-120773,2019-03-107405,ClusterSimple_2019-05-120773,AREQUIPA,AREQUIPA,EZENTIS
21,16,5551,373.8875296219453,1,-71.55739949999997,-16.426405399999965,-71.55637497999999,-16.429636080999956,373.89,2019-05-121535,2019-04-112410,ClusterSimple_2019-05-121535,AREQUIPA,AREQUIPA,EZENTIS
22,16,4182,378.40761542440566,2,-71.55988099999996,-16.429142999999954,-71.55637497999999,-16.429636080999956,378.41,2019-05-121535,2019-03-107098,ClusterSimple_2019-05-121535,AREQUIPA,AREQUIPA,EZENTIS
23,17,3732,53.185569433148856,1,-71.53351110999995,-16.425172199999963,-71.53345842999994,-16.42565011099998,53.19,2019-05-118806,2019-02-105543,ClusterSimple_2019-05-118806,AREQUIPA,AREQUIPA,EZENTIS
24,17,1999,210.82454626874232,2,-71.53268339999994,-16.42389799999995,-71.53345842999994,-16.42565011099998,210.82,2019-05-118806,2019-01-97334,ClusterSimple_2019-05-118806,AREQUIPA,AREQUIPA,EZENTIS
25,17,1014,373.0010617629545,3,-71.53689724999998,-16.426238079999962,-71.53345842999994,-16.42565011099998,373.0,2019-05-118806,2019-01-91354,ClusterSimple_2019-05-118806,AREQUIPA,AREQUIPA,EZENTIS
26,17,209,410.87215131905236,4,-71.53135916999997,-16.42253883999996,-71.53345842999994,-16.42565011099998,410.87,2019-05-118806,2018-12-87291,ClusterSimple_2019-05-118806,AREQUIPA,AREQUIPA,EZENTIS
27,17,5974,467.10027311939274,5,-71.53128849999996,-16.421985399999926,-71.53345842999994,-16.42565011099998,467.1,2019-05-118806,2019-04-114930,ClusterSimple_2019-05-118806,AREQUIPA,AREQUIPA,EZENTIS
28,18,27,20.256814004343443,1,-71.54746207999995,-16.41830632999995,-71.54756399999997,-16.418460700999958,20.26,2019-05-121424,2018-12-86442,ClusterSimple_2019-05-121424,AREQUIPA,AREQUIPA,EZENTIS
29,18,294,46.10050479662356,2,-71.54791509999995,-16.418702999999937,-71.54756399999997,-16.418460700999958,46.1,2019-05-121424,2018-12-87607,ClusterSimple_2019-05-121424,AREQUIPA,AREQUIPA,EZENTIS
30,18,3918,141.60142513299286,3,-71.54881147999998,-16.418027559999928,-71.54756399999997,-16.418460700999958,141.6,2019-05-121424,2019-03-106206,ClusterSimple_2019-05-121424,AREQUIPA,AREQUIPA,EZENTIS
31,18,6477,295.89378660562886,4,-71.54905501999997,-16.42071422999993,-71.54756399999997,-16.418460700999958,295.89,2019-05-121424,2019-05-118367,ClusterSimple_2019-05-121424,AREQUIPA,AREQUIPA,EZENTIS
32,18,4284,338.49548831218425,5,-71.54811685999994,-16.41544880999993,-71.54756399999997,-16.418460700999958,338.5,2019-05-121424,2019-03-107520,ClusterSimple_2019-05-121424,AREQUIPA,AREQUIPA,EZENTIS
33,18,5571,407.51016664084335,6,-71.54707692999995,-16.414808389999962,-71.54756399999997,-16.418460700999958,407.51,2019-05-121424,2019-04-112509,ClusterSimple_2019-05-121424,AREQUIPA,AREQUIPA,EZENTIS
34,18,285,434.19817505067425,7,-71.54350519999997,-16.418240799999978,-71.54756399999997,-16.418460700999958,434.2,2019-05-121424,2018-12-87585,ClusterSimple_2019-05-121424,AREQUIPA,AREQUIPA,EZENTIS
