OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,X_COTIZADO,Y_COTIZADO,X_PENDIENTE,Y_PENDIENTE,DISTANCIA,CODIGO_PENDIENTE,CODIGO_COTIZADO,CODIGO_N
1,1,1713,54.371462928733834,1,-76.97237879999994,-12.154656599999953,-76.97211999999996,-12.155077000999938,54.37,2019-05-121498,2019-01-94968,ClusterSimple_2019-05-121498
2,1,6121,80.29192335076688,2,-76.97241089999994,-12.15574399999997,-76.97211999999996,-12.155077000999938,80.29,2019-05-121498,2019-04-115815,ClusterSimple_2019-05-121498
3,1,1681,98.19440284153461,3,-76.97284589999998,-12.15454989999995,-76.97211999999996,-12.155077000999938,98.19,2019-05-121498,2019-01-94870,ClusterSimple_2019-05-121498
4,1,1008,105.08309276563334,4,-76.97269069999999,-12.155843199999936,-76.97211999999996,-12.155077000999938,105.08,2019-05-121498,2019-01-91343,ClusterSimple_2019-05-121498
5,1,151,114.20599807852228,5,-76.97255757999994,-12.154138669999952,-76.97211999999996,-12.155077000999938,114.21,2019-05-121498,2018-12-87095,ClusterSimple_2019-05-121498
6,1,5699,148.6184450865716,6,-76.97266937999996,-12.156306929999971,-76.97211999999996,-12.155077000999938,148.62,2019-05-121498,2019-04-113206,ClusterSimple_2019-05-121498
7,1,5540,154.49918920825485,7,-76.97235829999994,-12.153700199999946,-76.97211999999996,-12.155077000999938,154.5,2019-05-121498,2019-03-112316,ClusterSimple_2019-05-121498
8,1,4175,156.86591964167903,8,-76.97160304999994,-12.15375333999998,-76.97211999999996,-12.155077000999938,156.87,2019-05-121498,2019-03-107067,ClusterSimple_2019-05-121498
9,1,4394,157.67351003159615,9,-76.97185311999993,-12.153676079999968,-76.97211999999996,-12.155077000999938,157.67,2019-05-121498,2019-03-107881,ClusterSimple_2019-05-121498
10,1,788,168.49247352723813,10,-76.97267199999999,-12.156499999999937,-76.97211999999996,-12.155077000999938,168.49,2019-05-121498,2018-12-90118,ClusterSimple_2019-05-121498
11,2,1253,0.00011062156409025192,1,-77.02562699999999,-12.112021399999946,-77.02562699999999,-12.112021400999936,0.0,2019-05-120766,2019-01-92537,ClusterSimple_2019-05-120766
12,2,2380,0.00011062156409025192,1,-77.02562699999999,-12.112021399999946,-77.02562699999999,-12.112021400999936,0.0,2019-05-120766,2019-02-99104,ClusterSimple_2019-05-120766
13,2,6061,60.84744002113087,2,-77.02556829999997,-12.111474399999963,-77.02562699999999,-12.112021400999936,60.85,2019-05-120766,2019-04-115447,ClusterSimple_2019-05-120766
14,2,5939,141.3569191733236,3,-77.02453299999996,-12.111332999999945,-77.02562699999999,-12.112021400999936,141.36,2019-05-120766,2019-04-114846,ClusterSimple_2019-05-120766
15,2,4673,182.99568858319634,4,-77.02526079999996,-12.113635899999963,-77.02562699999999,-12.112021400999936,183.0,2019-05-120766,2019-03-108717,ClusterSimple_2019-05-120766
16,2,5621,209.31065278865117,5,-77.02407071999994,-12.113132599999972,-77.02562699999999,-12.112021400999936,209.31,2019-05-120766,2019-04-112788,ClusterSimple_2019-05-120766
17,2,249,250.3278123254263,6,-77.02390529999997,-12.113521499999933,-77.02562699999999,-12.112021400999936,250.33,2019-05-120766,2018-12-87464,ClusterSimple_2019-05-120766
18,2,6112,258.7236544590342,7,-77.02384730999995,-12.113571539999953,-77.02562699999999,-12.112021400999936,258.72,2019-05-120766,2019-04-115751,ClusterSimple_2019-05-120766
19,2,4275,259.4637384847892,8,-77.02357699999999,-12.11321799999996,-77.02562699999999,-12.112021400999936,259.46,2019-05-120766,2019-03-107483,ClusterSimple_2019-05-120766
20,2,3625,379.12640738484805,9,-77.02799579999999,-12.114533799999947,-77.02562699999999,-12.112021400999936,379.13,2019-05-120766,2019-02-105130,ClusterSimple_2019-05-120766
21,3,1943,0.00011062226258218288,1,-77.01605359999996,-12.109209699999951,-77.01605359999996,-12.10920970099994,0.0,2019-05-120815,2019-01-97189,ClusterSimple_2019-05-120815
22,3,3588,0.00011062226258218288,1,-77.01605359999996,-12.109209699999951,-77.01605359999996,-12.10920970099994,0.0,2019-05-120815,2019-02-104974,ClusterSimple_2019-05-120815
23,3,3745,0.00011062226258218288,1,-77.01605359999996,-12.109209699999951,-77.01605359999996,-12.10920970099994,0.0,2019-05-120815,2019-02-105571,ClusterSimple_2019-05-120815
24,3,5501,0.00011062226258218288,1,-77.01605359999996,-12.109209699999951,-77.01605359999996,-12.10920970099994,0.0,2019-05-120815,2019-03-112167,ClusterSimple_2019-05-120815
25,3,5923,0.00011062226258218288,1,-77.01605359999996,-12.109209699999951,-77.01605359999996,-12.10920970099994,0.0,2019-05-120815,2019-04-114766,ClusterSimple_2019-05-120815
26,3,3102,77.02539771527599,2,-77.01674839999998,-12.109077999999954,-77.01605359999996,-12.10920970099994,77.03,2019-05-120815,2019-02-102892,ClusterSimple_2019-05-120815
27,3,1600,150.06587670263315,3,-77.01733149999995,-12.108700899999974,-77.01605359999996,-12.10920970099994,150.07,2019-05-120815,2019-01-94551,ClusterSimple_2019-05-120815
28,3,1652,157.40515635080985,4,-77.01471589999994,-12.108669499999962,-77.01605359999996,-12.10920970099994,157.41,2019-05-120815,2019-01-94777,ClusterSimple_2019-05-120815
29,3,1682,157.40515635080985,4,-77.01471589999994,-12.108669499999962,-77.01605359999996,-12.10920970099994,157.41,2019-05-120815,2019-01-94871,ClusterSimple_2019-05-120815
30,3,3087,182.71244832223118,5,-77.01766919999994,-12.108761999999956,-77.01605359999996,-12.10920970099994,182.71,2019-05-120815,2019-02-102789,ClusterSimple_2019-05-120815
31,4,385,0.00011062179692089558,1,-77.03848189999997,-12.104811599999948,-77.03848189999997,-12.104811600999938,0.0,2019-05-121038,2018-12-88162,ClusterSimple_2019-05-121038
32,4,4482,99.18996366994932,2,-77.03774339999995,-12.104286399999978,-77.03848189999997,-12.104811600999938,99.19,2019-05-121038,2019-03-108214,ClusterSimple_2019-05-121038
33,4,2863,128.19662976963883,3,-77.03748859999996,-12.105434099999968,-77.03848189999997,-12.104811600999938,128.2,2019-05-121038,2019-02-101920,ClusterSimple_2019-05-121038
34,4,2951,148.40131810287556,4,-77.03736609999999,-12.104040899999973,-77.03848189999997,-12.104811600999938,148.4,2019-05-121038,2019-02-102236,ClusterSimple_2019-05-121038
35,4,4476,160.74160448456698,5,-77.03762879999994,-12.10362559999993,-77.03848189999997,-12.104811600999938,160.74,2019-05-121038,2019-03-108200,ClusterSimple_2019-05-121038
36,4,2779,193.35112799913264,6,-77.03896979999996,-12.106492199999934,-77.03848189999997,-12.104811600999938,193.35,2019-05-121038,2019-02-101578,ClusterSimple_2019-05-121038
37,4,2676,212.5175834300196,7,-77.03883339999999,-12.10670129999994,-77.03848189999997,-12.104811600999938,212.52,2019-05-121038,2019-02-100790,ClusterSimple_2019-05-121038
38,4,3174,237.1428146332687,8,-77.03852899999998,-12.106954799999926,-77.03848189999997,-12.104811600999938,237.14,2019-05-121038,2019-02-103315,ClusterSimple_2019-05-121038
39,4,2943,256.2696591750457,9,-77.03698529999997,-12.10659979999997,-77.03848189999997,-12.104811600999938,256.27,2019-05-121038,2019-02-102217,ClusterSimple_2019-05-121038
40,4,5291,259.64743731225786,10,-77.03631199999995,-12.105785999999966,-77.03848189999997,-12.104811600999938,259.65,2019-05-121038,2019-03-110907,ClusterSimple_2019-05-121038
41,5,6138,88.55473282761139,1,-77.02106233999996,-12.10302452999997,-77.02092179999994,-12.103813000999935,88.55,2019-05-121292,2019-04-115882,ClusterSimple_2019-05-121292
42,5,2728,92.84848717294868,2,-77.02159089999998,-12.104333499999939,-77.02092179999994,-12.103813000999935,92.85,2019-05-121292,2019-02-101327,ClusterSimple_2019-05-121292
43,5,6411,142.12340051528219,3,-77.02138839999998,-12.105012899999963,-77.02092179999994,-12.103813000999935,142.12,2019-05-121292,2019-04-117747,ClusterSimple_2019-05-121292
44,5,5033,156.56531656372263,4,-77.01977799999997,-12.10467099999994,-77.02092179999994,-12.103813000999935,156.57,2019-05-121292,2019-03-109971,ClusterSimple_2019-05-121292
45,5,870,167.7155221754099,5,-77.02077289999994,-12.102303999999947,-77.02092179999994,-12.103813000999935,167.72,2019-05-121292,2018-12-90568,ClusterSimple_2019-05-121292
46,5,2019,167.97593006918635,6,-77.02230699999996,-12.10314399999993,-77.02092179999994,-12.103813000999935,167.98,2019-05-121292,2019-01-97376,ClusterSimple_2019-05-121292
47,5,1377,168.99608405484395,7,-77.02130299999999,-12.102332099999956,-77.02092179999994,-12.103813000999935,169.0,2019-05-121292,2019-01-93417,ClusterSimple_2019-05-121292
48,5,1828,169.28534556521515,8,-77.02142447999995,-12.102364869999974,-77.02092179999994,-12.103813000999935,169.29,2019-05-121292,2019-01-95529,ClusterSimple_2019-05-121292
49,5,3088,189.16365912675798,9,-77.02242899999999,-12.104663999999957,-77.02092179999994,-12.103813000999935,189.16,2019-05-121292,2019-02-102802,ClusterSimple_2019-05-121292
50,5,5653,189.16365912675798,9,-77.02242899999999,-12.104663999999957,-77.02092179999994,-12.103813000999935,189.16,2019-05-121292,2019-04-112934,ClusterSimple_2019-05-121292
51,6,5251,0.00011062202975153923,1,-77.03236929999997,-12.101475299999947,-77.03236929999997,-12.101475300999937,0.0,2019-05-121155,2019-03-110748,ClusterSimple_2019-05-121155
52,6,6273,0.00011062202975153923,1,-77.03236929999997,-12.101475299999947,-77.03236929999997,-12.101475300999937,0.0,2019-05-121155,2019-04-116881,ClusterSimple_2019-05-121155
53,6,4313,98.98138639860791,2,-77.03228939999997,-12.10058399999997,-77.03236929999997,-12.101475300999937,98.98,2019-05-121155,2019-03-107655,ClusterSimple_2019-05-121155
54,6,5518,213.2339568319464,3,-77.03043809999997,-12.101153099999976,-77.03236929999997,-12.101475300999937,213.23,2019-05-121155,2019-03-112205,ClusterSimple_2019-05-121155
55,6,6076,257.59626393124904,4,-77.03084019999994,-12.103252399999974,-77.03236929999997,-12.101475300999937,257.6,2019-05-121155,2019-04-115490,ClusterSimple_2019-05-121155
56,6,5308,276.66697685398333,5,-77.03136799999999,-12.10377399999993,-77.03236929999997,-12.101475300999937,276.67,2019-05-121155,2019-03-110977,ClusterSimple_2019-05-121155
57,6,2384,279.5038159001288,6,-77.03492481999996,-12.10123139999996,-77.03236929999997,-12.101475300999937,279.5,2019-05-121155,2019-02-99142,ClusterSimple_2019-05-121155
58,6,1840,326.36715429599275,7,-77.03223499999996,-12.09852799999993,-77.03236929999997,-12.101475300999937,326.37,2019-05-121155,2019-01-95616,ClusterSimple_2019-05-121155
59,6,2288,345.5908025269578,8,-77.03122126999995,-12.104387909999957,-77.03236929999997,-12.101475300999937,345.59,2019-05-121155,2019-02-98777,ClusterSimple_2019-05-121155
60,6,2281,348.17710329752356,9,-77.03121053999996,-12.104408889999945,-77.03236929999997,-12.101475300999937,348.18,2019-05-121155,2019-02-98737,ClusterSimple_2019-05-121155
