OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,X_COTIZADO,Y_COTIZADO,X_PENDIENTE,Y_PENDIENTE,DISTANCIA,CODIGO_PENDIENTE,CODIGO_COTIZADO,CODIGO_N,ZONAL,JEFATURA,EE_CC
14,12,2882,180.66036377121938,3,-71.84484824999998,-16.493566209999926,-71.84315655999995,-16.493530790999955,180.66,2019-05-118984,2019-02-101988,ClusterSimple_2019-05-118984,Analista Arequipa,AREQUIPA,EZENTIS
15,12,2933,275.3541818127467,4,-71.84461108999994,-16.495585509999955,-71.84315655999995,-16.493530790999955,275.35,2019-05-118984,2019-02-102168,ClusterSimple_2019-05-118984,Analista Arequipa,AREQUIPA,EZENTIS
16,12,5464,450.5208787003107,5,-71.84060599999998,-16.49677399999996,-71.84315655999995,-16.493530790999955,450.52,2019-05-118984,2019-03-111975,ClusterSimple_2019-05-118984,Analista Arequipa,AREQUIPA,EZENTIS
17,12,6503,450.5208787003107,5,-71.84060599999998,-16.49677399999996,-71.84315655999995,-16.493530790999955,450.52,2019-05-118984,2019-05-118702,ClusterSimple_2019-05-118984,Analista Arequipa,AREQUIPA,EZENTIS
18,12,4422,450.5854214113712,6,-71.84060499999998,-16.49677399999996,-71.84315655999995,-16.493530790999955,450.59,2019-05-118984,2019-03-107974,ClusterSimple_2019-05-118984,Analista Arequipa,AREQUIPA,EZENTIS
19,12,5544,450.5854214113712,6,-71.84060499999998,-16.49677399999996,-71.84315655999995,-16.493530790999955,450.59,2019-05-118984,2019-03-112356,ClusterSimple_2019-05-118984,Analista Arequipa,AREQUIPA,EZENTIS
20,15,4251,20.241167094473038,1,-71.51210528999997,-16.452320889999953,-71.51191623999995,-16.45233405099998,20.24,2019-05-120773,2019-03-107405,ClusterSimple_2019-05-120773,Analista Arequipa,AREQUIPA,EZENTIS
21,16,5551,373.8875296219453,1,-71.55739949999997,-16.426405399999965,-71.55637497999999,-16.429636080999956,373.89,2019-05-121535,2019-04-112410,ClusterSimple_2019-05-121535,Analista Arequipa,AREQUIPA,EZENTIS
22,16,4182,378.40761542440566,2,-71.55988099999996,-16.429142999999954,-71.55637497999999,-16.429636080999956,378.41,2019-05-121535,2019-03-107098,ClusterSimple_2019-05-121535,Analista Arequipa,AREQUIPA,EZENTIS
23,17,3732,53.185569433148856,1,-71.53351110999995,-16.425172199999963,-71.53345842999994,-16.42565011099998,53.19,2019-05-118806,2019-02-105543,ClusterSimple_2019-05-118806,Analista Arequipa,AREQUIPA,EZENTIS
24,17,1999,210.82454626874232,2,-71.53268339999994,-16.42389799999995,-71.53345842999994,-16.42565011099998,210.82,2019-05-118806,2019-01-97334,ClusterSimple_2019-05-118806,Analista Arequipa,AREQUIPA,EZENTIS
25,17,1014,373.0010617629545,3,-71.53689724999998,-16.426238079999962,-71.53345842999994,-16.42565011099998,373.0,2019-05-118806,2019-01-91354,ClusterSimple_2019-05-118806,Analista Arequipa,AREQUIPA,EZENTIS
26,17,209,410.87215131905236,4,-71.53135916999997,-16.42253883999996,-71.53345842999994,-16.42565011099998,410.87,2019-05-118806,2018-12-87291,ClusterSimple_2019-05-118806,Analista Arequipa,AREQUIPA,EZENTIS
27,17,5974,467.10027311939274,5,-71.53128849999996,-16.421985399999926,-71.53345842999994,-16.42565011099998,467.1,2019-05-118806,2019-04-114930,ClusterSimple_2019-05-118806,Analista Arequipa,AREQUIPA,EZENTIS
28,18,27,20.256814004343443,1,-71.54746207999995,-16.41830632999995,-71.54756399999997,-16.418460700999958,20.26,2019-05-121424,2018-12-86442,ClusterSimple_2019-05-121424,Analista Arequipa,AREQUIPA,EZENTIS
29,18,294,46.10050479662356,2,-71.54791509999995,-16.418702999999937,-71.54756399999997,-16.418460700999958,46.1,2019-05-121424,2018-12-87607,ClusterSimple_2019-05-121424,Analista Arequipa,AREQUIPA,EZENTIS
30,18,3918,141.60142513299286,3,-71.54881147999998,-16.418027559999928,-71.54756399999997,-16.418460700999958,141.6,2019-05-121424,2019-03-106206,ClusterSimple_2019-05-121424,Analista Arequipa,AREQUIPA,EZENTIS
31,18,6477,295.89378660562886,4,-71.54905501999997,-16.42071422999993,-71.54756399999997,-16.418460700999958,295.89,2019-05-121424,2019-05-118367,ClusterSimple_2019-05-121424,Analista Arequipa,AREQUIPA,EZENTIS
32,18,4284,338.49548831218425,5,-71.54811685999994,-16.41544880999993,-71.54756399999997,-16.418460700999958,338.5,2019-05-121424,2019-03-107520,ClusterSimple_2019-05-121424,Analista Arequipa,AREQUIPA,EZENTIS
33,18,5571,407.51016664084335,6,-71.54707692999995,-16.414808389999962,-71.54756399999997,-16.418460700999958,407.51,2019-05-121424,2019-04-112509,ClusterSimple_2019-05-121424,Analista Arequipa,AREQUIPA,EZENTIS
34,18,285,434.19817505067425,7,-71.54350519999997,-16.418240799999978,-71.54756399999997,-16.418460700999958,434.2,2019-05-121424,2018-12-87585,ClusterSimple_2019-05-121424,Analista Arequipa,AREQUIPA,EZENTIS
35,18,1331,434.19817505067425,7,-71.54350519999997,-16.418240799999978,-71.54756399999997,-16.418460700999958,434.2,2019-05-121424,2019-01-92958,ClusterSimple_2019-05-121424,Analista Arequipa,AREQUIPA,EZENTIS
36,18,4929,436.29674956923037,8,-71.54977976999999,-16.421772849999968,-71.54756399999997,-16.418460700999958,436.3,2019-05-121424,2019-03-109574,ClusterSimple_2019-05-121424,Analista Arequipa,AREQUIPA,EZENTIS
37,18,2406,492.09735183055625,9,-71.54768399999995,-16.422905999999955,-71.54756399999997,-16.418460700999958,492.1,2019-05-121424,2019-02-99397,ClusterSimple_2019-05-121424,Analista Arequipa,AREQUIPA,EZENTIS
38,19,1901,46.32724640883683,1,-71.51593939999998,-16.417344399999934,-71.51593399999996,-16.41776300099997,46.33,2019-05-120050,2019-01-96697,ClusterSimple_2019-05-120050,Analista Arequipa,AREQUIPA,EZENTIS
39,19,1032,108.97599025689605,2,-71.51562759999996,-16.416823699999952,-71.51593399999996,-16.41776300099997,108.98,2019-05-120050,2019-01-91436,ClusterSimple_2019-05-120050,Analista Arequipa,AREQUIPA,EZENTIS
40,19,5725,126.80870911735722,3,-71.51570716999998,-16.416638209999974,-71.51593399999996,-16.41776300099997,126.81,2019-05-120050,2019-04-113263,ClusterSimple_2019-05-120050,Analista Arequipa,AREQUIPA,EZENTIS
41,19,4541,210.98416014280562,4,-71.51404375999994,-16.417209439999965,-71.51593399999996,-16.41776300099997,210.98,2019-05-120050,2019-03-108342,ClusterSimple_2019-05-120050,Analista Arequipa,AREQUIPA,EZENTIS
42,19,2343,222.05548372408052,5,-71.51474847999998,-16.41611462999998,-71.51593399999996,-16.41776300099997,222.06,2019-05-120050,2019-02-98944,ClusterSimple_2019-05-120050,Analista Arequipa,AREQUIPA,EZENTIS
43,19,6611,235.7393417172908,6,-71.51391639999997,-16.416899399999977,-71.51593399999996,-16.41776300099997,235.74,2019-05-120050,2019-05-119456,ClusterSimple_2019-05-120050,Analista Arequipa,AREQUIPA,EZENTIS
