CODIGO;CLIENTE;TIPO REQUERIMIENTO;ALIAS;RESPONSABLE VU;SALESFORCE;PROYECTO;REGISTRO;SEGMENTO;DEPARTAMENTO;PROVINCIA;DISTRITO;DIRECCION;NUMERO;ACCESO;TENDIDO EXTERNO;TIPO SEDE;NRO PISOS;ZONAL;RESPONSABLE ;REGION;ENLACE;LATITUD;LONGITUD;UNIDAD DE NEGOCIO;ESTUDIO;NODO;DIAS;PEP;PEP2;GRAFO;TOTAL SOLES;TOTAL DOLARES;ESTADO ESTUDIO;COTIZACION SOLES;COTIZACION DOLARES;DIAS;FECHA ENVIO;INICIO ESTUDIO;FIN ESTUDIO;FIN CONSOLIDACION;INICIO EJECUCION;INICIO IMPLEMENTACION;ESTADO
2019-04-116267;INFINITE SPEED TELECOMUNICACIONES SOCIEDAD ANONIMA CERRADA;Fibra Optica;HUANUCO;Juan Noya;PER-002137313;Premium;17/04/2019 14:19;Negocios;Huanuco;Huanuco;Amarilis; Jirón Abtao, 1844, Amarilis, Huanuco, Huanuco;;Aereo;Mixto;Edificio Monocliente;1;Analista Huánuco;Abel Roca;Region Norte;Principal;-9.918989;-76.234673;Hubert Edgar Salas Rodriguez;;;;;;;;;;;;;;17/04/2019 14:19;;;;;Pend. Cotiz.
2019-04-116301;Telefónica Servicios TIWS S.A.C;Fibra Optica;FO_TIWS_TATA_DSM MARINE_FASEI;Ivan Gomez;PER-;Proyecto Empresas;17/04/2019 16:06;Empresas;Piura;Piura;Catacaos;"Av. Principal s/n La Legua
";;Aereo;Aereo;Edificio Monocliente;0;Analista Piura;Rocio Aquino Cobra,Juan Noya,Harold Robinson Lopez Murga;Region Norte;Principal;-5.2429684;-80.6669802;Meche Garay;Estudio FO Ubicación 1;PIURA;30;;;;3700;0;Enviado VU;;;;;17/04/2019 16:06;25/04/2019 15:03;;;;Pend. Cotiz.
2019-04-116410;FERREYROS SOCIEDAD ANÓNIMA;Fibra Optica;CERRO DE PASCO;Juan Noya;PER-002118846;Industria y Globales;22/04/2019 10:35;Empresas;Pasco;Pasco;Chaupimarca; JR. ZINC MZ K  LT 2  PASCO;;Aereo;Mixto;Edificio Monocliente;2;Analista Huánuco;Roger Palza Transm,Freddy Flores;Region Norte;Principal;-10.6887704;-76.2564089;Josias Salomon;Estudio FO Principal;EBC RANCAS;30;;;;12350;0;Enviado VU;;;;;22/04/2019 10:35;4/05/2019 8:41;;;;Pend. Cotiz.
2019-04-116445;SUPERINTENDENCIA DE BANCA Y SEGUROS;Fibra Optica;FO_CHOTA;Juan Noya;PER-002096251;Licitaciones;22/04/2019 11:55;Empresas;Lima;Lima;Lima; Jiron Chota 998, Cercado de Lima;;Canalizado;Mixto;Edificio Monocliente;1;Analista Lima;Rocio Aquino Cobra,Roger Palza Transm;Lima;Principal;-12.0521645;-77.0412444;Joel Campos Fabian;Estudio FO Principal;WASHINGTON;30;;;;8200;0;Enviado VU;;;;;22/04/2019 11:55;25/04/2019 15:43;;;;Pend. Cotiz.
2019-04-116860;DEMOESTART SOCIEDAD COMERCIAL DE RESPONSABILIDAD LIMITADA;Fibra Optica;Huanuco;Juan Noya;PER-002137120;Premium;23/04/2019 15:45;Negocios;Huanuco;Huanuco;Amarilis; Mz C Lote 3 - Amarilis - Huanuco - ;;Aereo;Mixto;Edificio Monocliente;1;Analista Huánuco;Roger Palza Transm,Abel Roca;Region Norte;Principal;-9.921011;-76.231505;Lizbeth Barriga;Estudio FO Principal;EBC BRANCACHO;30;;;;8650;0;Enviado VU;;;;;23/04/2019 15:45;4/05/2019 9:11;;;;Pend. Cotiz.
2019-04-116910;B.J.R. SELVA S.A.C.;Fibra Optica;UCAYALI;Juan Noya;PER-002137163;Premium;23/04/2019 17:45;Negocios;Ucayali;Coronel Portillo;Yarinacocha;(AV. PACHITEA) AV. PACHACUTEC MZA. A LOTE. 8 A.H. LOS MANGOS;;Aereo;Mixto;Edificio Monocliente;1;Analista Huánuco;Juana Kam;Region Norte;Principal;-8.379282;-74.56102;Diego Cervantes;;;;;;;;;;;;;;23/04/2019 17:45;;;;;Pend. Cotiz.
2019-04-116950;DIRECCION REGIONAL DE SALUD PASCO;Fibra Optica;C.S. RANCAS;Juan Noya;PER-002064815;Licitaciones;23/04/2019 22:51;Empresas;Pasco;Pasco;Simon Bolivar; OTROS RANCAS  S/N DISTRITO SIMON BOLIVAR PROVINCIA PASCO DEPARTAMENTO PASCO;;Aereo;Mixto;Edificio Monocliente;1;Analista Huánuco;Juvenal Cerda;Region Norte;Principal;-10.6887902;-76.3188616;Francelys Figueroa;;;;;;;;;;;;;;23/04/2019 22:51;;;;;Pend. Cotiz.
2019-04-116951;DIRECCION REGIONAL DE SALUD PASCO;Fibra Optica;C.S. FREDY VALLEJO ORE;Juan Noya;PER-002064815;Licitaciones;23/04/2019 23:03;Empresas;Pasco;Daniel Alcides Carrion;Yanahuanca; AV 28 DE JULIO S/N NÚMERO S/N DISTRITO YANAHUANCA PROVINCIA DANIEL ALCIDES CARRION DEPARTAMENTO PAS;;Aereo;Mixto;Edificio Monocliente;1;Analista Huánuco;Roger Palza Transm,Boris Arangurí Minchola;Region Norte;Principal;-10.49172803;-76.5155931;Francelys Figueroa;Estudio FO Principal;AZTECA YANAHUANCA;60;;;;12300;0;Enviado VU;;;;;23/04/2019 23:03;4/05/2019 9:41;;;;Pend. Cotiz.
2019-04-116952;DIRECCION REGIONAL DE SALUD PASCO;Fibra Optica;C.S. ULIACHIN;Juan Noya;PER-002064815;Licitaciones;23/04/2019 23:09;Empresas;Pasco;Pasco;Chaupimarca; AV. CIRCUNVALACION ARENALES NRO 396 DISTRITO CHAUPIMARCA PROVINCIA PASCO DEPARTAMENTO PASCO;;Aereo;Mixto;Edificio Monocliente;1;Analista Huánuco;Abel Roca,Roger Palza Transm;Region Norte;Principal;-10.69101878;-76.25591549;Francelys Figueroa;Estudio FO Principal;EBC RANCAS;30;;;;12700;0;Enviado VU;;;;;23/04/2019 23:09;4/05/2019 9:45;;;;Pend. Cotiz.
2019-04-116953;DIRECCION REGIONAL DE SALUD PASCO;Fibra Optica;C.S. COLQUIJIRCA;Juan Noya;PER-002064815;Licitaciones;23/04/2019 23:26;Empresas;Pasco;Pasco;Tinyahuarco;  AV ALFONSO UGARTE S/N NÚMERO S/N DISTRITO TINYAHUARCO PROVINCIA PASCO DEPARTAMENTO PASCO;;Aereo;Mixto;Edificio Monocliente;1;Analista Huánuco;Juana Kam,Roger Palza Transm;Region Norte;Principal;-10.75188774;-76.26218092;Francelys Figueroa;Estudio FO Principal;EBC COLQUIJIRCA;30;;;;8750;0;Enviado VU;;;;;23/04/2019 23:26;4/05/2019 10:00;;;;Pend. Cotiz.
