CODIGO;CLIENTE;TIPO REQUERIMIENTO;ALIAS;RESPONSABLE VU;SALESFORCE;PROYECTO;REGISTRO;SEGMENTO;DEPARTAMENTO;PROVINCIA;DISTRITO;DIRECCION;NUMERO;ACCESO;TENDIDO EXTERNO;TIPO SEDE;NRO PISOS;ZONAL;RESPONSABLE ;REGION;ENLACE;LATITUD;LONGITUD;UNIDAD DE NEGOCIO;ESTUDIO;NODO;DIAS;PEP;PEP2;GRAFO;TOTAL SOLES;TOTAL DOLARES;ESTADO ESTUDIO;COTIZACION SOLES;COTIZACION DOLARES;DIAS;FECHA ENVIO;INICIO ESTUDIO;FIN ESTUDIO;FIN CONSOLIDACION;INICIO EJECUCION;INICIO IMPLEMENTACION;ESTADO
2019-04-118082;Z ADITIVOS S A ;Fibra Optica;CHORRILLOS;Juan Noya;PER-002127416;Alto Valor;30/04/2019 15:16;Negocios;Lima;Lima;Chorrillos; AV. LOS FAISANES  675 URB. PARCELACION SEMI RUSTICA (LA CAMPIÑA) LIMA - LIMA - CHORRILLOS;;Aereo;Mixto;Edificio Monocliente;1;Analista Lima;Roger Palza Transm,Mario Timana Dominion;Lima;Principal;-12.17401975;-76.99649781;Brayan Ramirez;Estudio FO Principal;CHORRILLOS;30;;;;6200;0;Enviado VU;;;;;30/04/2019 15:16;2/05/2019 9:09;;;;Pend. Cotiz.
2019-04-118088;Z ADITIVOS S A ;Fibra Optica;UCAYALI;Juan Noya;PER-002127416;Alto Valor;30/04/2019 15:21;Negocios;Ucayali;Coronel Portillo;Callaria;JR. CORONEL PORTILLO 744 UCAYALI - CORONEL PORTILLO - CALLERIA;;Aereo;Mixto;Edificio Monocliente;1;Analista Huánuco;Abel Roca;Region Norte;Principal;-8.3878046;-74.5311143;Brayan Ramirez;;;;;;;;;;;;;;30/04/2019 15:21;;;;;Pend. Cotiz.
2019-04-118090;Z ADITIVOS S A ;Fibra Optica;SULLANA;Juan Noya;PER-002127416;Alto Valor;30/04/2019 15:22;Negocios;Piura;Sullana;Sullana; AV. JOSÉ DE LAMA 344 PIURA - SULLANA - SULLANA;;Aereo;Mixto;Edificio Monocliente;1;Analista Piura;Marco Vilchez,Roger Palza Transm;Region Norte;Principal;-4.895267243;-80.68753498;Brayan Ramirez;Estudio FO Principal;EBC TRANS SULLANA;30;;;;4700;0;Enviado VU;;;;;30/04/2019 15:22;2/05/2019 9:06;;;;Pend. Cotiz.
2019-04-118091;Z ADITIVOS S A ;Fibra Optica;CALLAO;Juan Noya;PER-002127416;Alto Valor;30/04/2019 15:22;Negocios;Callao;Callao;Bellavista; AV. FAUCETT 1631 URB. JARDINES VIRU CALLAO, BELLAVISTA;;Aereo;Mixto;Edificio Monocliente;1;Analista Lima;Roger Palza Transm,Rocio Aquino Cobra;Lima;Principal;-12.06086577;-77.09749001;Brayan Ramirez;Estudio FO Principal;EBC FAUCETT;30;;;;7500;0;Enviado VU;;;;;30/04/2019 15:22;1/05/2019 9:43;;;;Pend. Cotiz.
2019-04-118222;Inkaferro SAC;Fibra Optica;;Juan Noya;PER-002149528;Alto Valor;30/04/2019 16:11;Negocios;Ucayali;Coronel Portillo;Callaria; AV. YARINACOCHA 1230 - CORONEL PORTILLO;;Aereo;Mixto;Edificio Monocliente;1;Analista Huánuco;Boris Arangurí Minchola;Region Norte;Principal;-8.362433;-74.568136;Lizbeth Barriga;;;;;;;;;;;;;;30/04/2019 16:11;;;;;Pend. Cotiz.
2019-04-118241;CIA. OPERADORA DE GAS DEL AMAZONAS S.A.C;Fibra Optica;BAse San Clemente ;Juan Noya;PER-002096774;Energía y Recursos Naturales;30/04/2019 17:18;Empresas;Ica;Pisco;Pisco;" Av. Libertadores 1015, PISCO,
Coordenadas:
Lat. 13°40'45.35""S, Long. 76° 8'55.18""O";;Canalizado;Mixto;Edificio Monocliente;1;Analista Ica;Romulo Moyano,Roger Palza Transm;Region Sur;Principal;-13.67925429;-76.14865542;Richard Perez;Estudio FO Principal;SAN CLEMENTE;30;;;;31750;0;Enviado VU;;;;;30/04/2019 17:18;3/05/2019 17:54;;;;Pend. Cotiz.
2019-04-118258;SERVITEL REDES INFORMATICA E.I.R.L.;Fibra Optica;SAN JUAN DE MIRAFLORES;Juan Noya;PER-002149543;Premium;30/04/2019 17:59;Negocios;Lima;Lima;S. Juan De Miraflores;"Av. Andres Avelino Caceres 
Mz.C Lt.3 sec 6 
Urb. Heroes de San Juan";;Aereo;Mixto;Edificio Monocliente;1;Analista Lima;Mario Timana Dominion,Roger Palza Transm;Lima;Principal;-12.177914;-76.967878;Diego Cervantes;Estudio FO Principal;EBC CATAUNA;30;;;;7200;0;Enviado VU;;;;;30/04/2019 17:59;2/05/2019 9:37;;;;Pend. Cotiz.
2019-04-118261;IDEAS TEXTILES S.A.C;Fibra Optica;FO_CHINCHA;Juan Noya;PER-002149655;Alto Valor;30/04/2019 18:05;Negocios;Ica;Chincha;Chincha Alta;AV MANUEL F. VEGA BOGARDUS 321 - CHINCHA - ICA - ICA - Textil del Sur;;Aereo;Mixto;Edificio Monocliente;1;Analista Ica;Roger Palza Transm,Félix Bendezú;Region Sur;Principal;-13.3925052;-76.12366;Franklin Mendoza;Estudio FO Principal;CHINCHA ALTA;30;;;;16600;0;Enviado VU;;;;;30/04/2019 18:05;4/05/2019 9:46;;;;Pend. Cotiz.
2019-04-118266;CONCHACALLA CCAHUANA EULALIA;Fibra Optica;CUSCO;Juan Noya;PER-002149814;Premium;30/04/2019 18:17;Negocios;Cusco;Chumbivilcas;Santo Tomas; Av. Bolognesi S/N, Santo Tomas, Chumbivilcas, Cusco;;Aereo;Mixto;Edificio Monocliente;1;Analista Cusco;Roberto Butrón,Walter Rodriguez Transm;Region Sur;Principal;-14.450558;-72.083089;Hubert Edgar Salas Rodriguez;Estudio FO Principal;EBC SANTO TOMAS CUSCO;60;;;;8500;0;Enviado VU;;;;;30/04/2019 18:17;2/05/2019 8:39;;;;Pend. Cotiz.
2019-04-118267;EMP.DE SERVICIOS EDUCATIVOS PRIVADOS SRL;Fibra Optica;VILLA EL SALVADOR;Juan Noya;PER-002148539;Alto Valor;30/04/2019 18:14;Negocios;Lima;Lima;Villa El Salvador;SECTOR 1 GRUPO 26 MZ J LT 22 LIMA LIMA VILLA EL SALVADOR;;Aereo;Mixto;Edificio Monocliente;1;Analista Lima;Mario Timana Dominion,Roger Palza Transm;Lima;Principal;-12.20232107;-76.953593;Brayan Ramirez;Estudio FO Principal;EBC BIOTECNOLOGICO;30;;;;6700;0;Enviado VU;;;;;30/04/2019 18:14;2/05/2019 14:52;;;;Pend. Cotiz.
2019-05-118315;ROCK DRILL CONTRAT. CIVILES Y MINEROS SAC;Fibra Optica;chorrillos;Juan Noya;PER-002143393;Alto Valor;2/05/2019 9:49;Negocios;Lima;Lima;Chorrillos; AV. ALAMEDA DEL REMERO MZ V LOTE 4 URB. LOS HUERTOS DE VILLA - CHORRILLOS ;;Aereo;Mixto;Edificio Monocliente;1;Analista Lima;Mario Timana Dominion,Roger Palza Transm;Lima;Principal;-12.200389;-76.999233;Hubert Edgar Salas Rodriguez;Estudio FO Principal;EBC ALAMEDA REMERO;30;;;;6200;0;Enviado VU;;;;;2/05/2019 9:49;2/05/2019 15:36;;;;Pend. Cotiz.
2019-05-118325;FIBERTEL ABANCAY SOCIEDAD ANONIM CERRADA - FIBERTEL ABANCAY S.A.C.;Fibra Optica;ABANCAY;Juan Noya;PER-002148029;Premium;2/05/2019 9:50;Negocios;Apurimac;Abancay;Abancay;"Av Las Flores MZA B Lote 06 urb. Ipss 
 

";;Aereo;Mixto;Edificio Monocliente;1;Analista Cusco;Roberto Butrón,Roger Palza Transm;Region Sur;Principal;-13.6378125;-72.8911875;Wayloung Leung;Estudio FO Principal;ABANCAY;30;;;;16100;0;Enviado VU;;;;;2/05/2019 9:50;2/05/2019 10:43;;;;Pend. Cotiz.
2019-05-118345;AREQUIPA CONSTRUCCIONES Y NEGOCIOS S.A.C.;Fibra Optica;AREQUIPA;Juan Noya;PER-002149695;Premium;2/05/2019 10:32;Negocios;Arequipa;La Union;Cotahuasi; Urb. San Antonio Mz. A, Lt.3 Pampas de Aymaña, Cotahuasi, Cotahuasi, La Union;;Aereo;Mixto;Edificio Monocliente;1;Analista Arequipa;Juan Malaga Contreras,Jorge Mendoza Transm;Region Sur;Principal;-15.20900956;-72.89906661;Brayan Ramirez;Estudio FO Principal;COTAHUASI;30;;;;34800;0;Enviado VU;;;;;2/05/2019 10:32;3/05/2019 15:46;;;;Pend. Cotiz.
2019-05-118359;EE&M TELECOMUNICACIONES SERVICIOS GENERALES S.A.C. - EE&M S.A.C.;Fibra Optica;PASCO;Juan Noya;PER-002149681;Premium;2/05/2019 11:01;Negocios;Pasco;Oxapampa;Oxapampa; Jirón Belgrano 137, Oxapampa, Pasco;;Aereo;Mixto;Edificio Monocliente;1;Analista Huancayo;Emilio Solis Torres,Roger Palza Transm;Region Sur;Principal;-10.57380293;-75.40261006;Brayan Ramirez;Estudio FO Principal;OXAPAMPA;20;;;;5211;0;Enviado VU;;;;;2/05/2019 11:01;9/05/2019 18:34;;;;Pend. Cotiz.
2019-05-118381;ENGINEERING IN TRADE OF COMUNICATIONS SUR S.C.R.L.;Fibra Optica;ABANCAY;Juan Noya;PER-002148561;Premium;2/05/2019 11:38;Negocios;Apurimac;Abancay;Abancay;Jr. Santa Rosa 116 Apurimac Abancay Abancay;;Aereo;Mixto;Edificio Monocliente;1;Analista Cusco;Roberto Butrón,Roger Palza Transm;Region Sur;Principal;-13.63343881;-72.88047658;Brayan Ramirez;Estudio FO Principal;ABANCAY;30;;;;10500;0;Enviado VU;;;;;2/05/2019 11:38;7/05/2019 20:04;;;;Pend. Cotiz.
2019-05-118401;ESSALUD;Fibra Optica;FO_traslado cd104358;Juan Noya;PER-002148185;Estandar;2/05/2019 13:01;Empresas;Tacna;Tacna;Tacna; Av. Celestino Vargas N° 409 – Pocollay;;Aereo;Mixto;Edificio Monocliente;1;Analista Tacna;Roger Palza Transm,Yordana Maldonado;Region Sur;Principal;-17.99807302;-70.22461511;Elojelia Gutierrez Z;Estudio FO Principal;EBC UPT TACNA NEW;20;;;;1500;0;Enviado VU;;;;;2/05/2019 13:01;7/05/2019 17:48;;;;Pend. Cotiz.
2019-05-118428;Telefónica Servicios TIWS S.A.C;Fibra Optica;FO_TIWS_Dachser_Callao_FASEI;Juan Noya;PER-;Proyecto Empresas;2/05/2019 15:32;Empresas;Callao;Callao;Callao;  Elmer Faucett 2889;;Aereo;Aereo;Edificio Monocliente;0;Analista Lima;Jhony Sanca Ezentis;Lima;Principal;-12.0283587;-77.1031645;Meche Garay;;;;;;;;;;;;;;2/05/2019 15:32;;;;;Pend. Cotiz.
2019-05-118574;GOBIERNO REGIONAL DE AYACUCHO;Fibra Optica;SEDE DESARROLLO ECONOMICO;Juan Noya;PER-002139305;Proyecto Empresas;2/05/2019 17:42;Empresas;Ayacucho;Huamanga;Ayacucho;Jr. Simón Bolivar Nº 156 ;;Aereo;Mixto;Edificio Monocliente;1;Analista Ica;José Zavaleta,Roger Palza Transm;Region Sur;Principal;-13.1508919;-74.2218626;Schelsen Majuan Lopez;Estudio FO Principal;EBC ESTADIO AYACUCHO;30;;;;14050;0;Enviado VU;;;;;2/05/2019 17:42;7/05/2019 9:27;;;;Pend. Cotiz.
2019-05-118579;INVERSIONES NACIONALES DE TURISMO S.A.;Fibra Optica;SEDE-URUBAMBA;Juan Noya;PER-00108135;Industria y Globales;2/05/2019 18:10;Empresas;Cusco;Urubamba;Urubamba;" Av. ferrocarril S/N Urubamba
";;Aereo;Mixto;Edificio Monocliente;1;Analista Cusco;Roger Palza Transm,Edu Ballesteros;Region Sur;Principal;-13.3102175;-72.1122931;Luis Mallco Pereda;Estudio FO Principal;URUBAMBA;30;;;;5500;0;Enviado VU;;;;;2/05/2019 18:10;3/05/2019 9:08;;;;Pend. Cotiz.
2019-05-118580;GOBIERNO REGIONAL DE AYACUCHO;Fibra Optica;FO_Oficina Regional de Recursos Naturales y Gestió;Juan Noya;PER-002139305;Proyecto Empresas;2/05/2019 18:00;Empresas;Ayacucho;Huamanga;Ayacucho;Jr. Lucanas N°. 496;;Aereo;Mixto;Edificio Monocliente;1;Analista Ica;Roger Palza Transm,Félix Bendezú;Region Sur;Principal;-13.16839585;-74.19741176;Schelsen Majuan Lopez;Estudio FO Principal;EBC ARENALES AYACUCHO;30;;;;19450;0;Enviado VU;;;;;2/05/2019 18:00;7/05/2019 10:20;;;;Pend. Cotiz.
2019-05-118585;PRAXAIR PERU;Fibra Optica;Planta Southern;Juan Noya;PER-002128756;Energía y Recursos Naturales;2/05/2019 17:55;Empresas;Tacna;Jorge Basadre;Ilabaya;Praxair (Planta Southern Tacna);;Canalizado;Mixto;Edificio Monocliente;1;Analista Tacna;Yordana Maldonado;Region Sur;Principal;-17.2786319;-70.6261448;Marco Andre Perales Vallejos;;;;;;;;;;;;;;2/05/2019 17:55;;;;;Pend. Cotiz.
2019-05-118587;ORGANISMO SUPERVISOR DE LAS CONTRATACIONES DEL ESTADO - OSCE;Fibra Optica;PUCALLPA;Juan Noya;PER-002148113;Licitaciones;2/05/2019 18:00;Empresas;Ucayali;Coronel Portillo;Callaria;Jr. Independencia N° 333 Calleria, Coronel Portillo - Ucayali.;;Aereo;Mixto;Edificio Monocliente;1;Analista Huánuco;Abel Roca;Region Norte;Principal;-8.382099937;-74.53208465;Jenny Victoria Aponte Acevedo;;;;;;;;;;;;;;2/05/2019 18:00;;;;;Pend. Cotiz.
2019-05-118594;FABRICA PERUANA ETERNIT S.A.;Fibra Optica;HUAROCHIRI;Juan Noya;PER-002114279;Alto Valor;2/05/2019 18:11;Negocios;Lima;Huarochiri;Huarochiri;DESCONOCIDO QUEBRADA DE HUAYCOLORO, MZA. B3 (01 HUAROCHIRI,) LIMA;;Aereo;Mixto;Edificio Monocliente;1;Analista Lima;Manuel Vera Lari;Lima;Principal;-11.93882571;-76.88188554;Brayan Ramirez;;;;;;;;;;;;;;2/05/2019 18:11;;;;;Pend. Cotiz.
2019-05-118595;ORGANISMO SUPERVISOR DE LAS CONTRATACIONES DEL ESTADO - OSCE;Fibra Optica;AMAZONAS;Juan Noya;PER-002148113;Licitaciones;2/05/2019 18:07;Empresas;Amazonas;Chachapoyas;Chachapoyas;Jr. Unión 485, Chachapoyas - Amazonas;;Aereo;Mixto;Edificio Monocliente;1;Analista Chiclayo;Roger Palza Transm,Esmeralda Reyes Chero;Region Norte;Principal;-6.2295706;-77.8691251;Jenny Victoria Aponte Acevedo;Estudio FO Principal;CHACHAPOYAS;45;;;;5300;0;Enviado VU;;;;;2/05/2019 18:07;3/05/2019 16:57;;;;Pend. Cotiz.
2019-05-118683;INSTITUTO DE EDUCACION TECNOLOGICO PRIVADO ANTONIO LORENA S.A.C;Fibra Optica;CUSCO;Juan Noya;PER-002150653;Premium;3/05/2019 9:49;Negocios;Cusco;Cusco;Cusco;Av. De la Cultura N° 3035;;Aereo;Mixto;Edificio Monocliente;1;Analista Cusco;Roger Palza Transm,Edu Ballesteros;Region Sur;Principal;-13.527251;-71.945487;Diego Cervantes;Estudio FO Principal;CUSCO;30;;;;5300;0;Enviado VU;;;;;3/05/2019 9:49;7/05/2019 20:13;;;;Pend. Cotiz.
2019-05-118689;GRUPO QUITO S.A.C;Fibra Optica;LIMA;Juan Noya;PER-2147578;Alto Valor;3/05/2019 9:59;Negocios;Lima;Lima;S. Juan De Miraflores;"AV. MIGUEL IGLESIAS Nº 968 - SJM
";;Aereo;Mixto;Edificio Monocliente;1;Analista Lima;Mario Timana Dominion,Roger Palza Transm;Lima;Principal;-12.1606065;-76.9587367;Wayloung Leung;Estudio FO Principal;EBC CLINICA SANTA MARIA DEL SUR;30;;;;16200;0;Enviado VU;;;;;3/05/2019 9:59;4/05/2019 10:53;;;;Pend. Cotiz.
2019-05-118701;AUTORIDAD PARA LA RECONSTRUCCIÓN CON CAMBIO;Fibra Optica;ANCASH;Juan Noya;PER-002147814;Licitaciones;3/05/2019 10:36;Empresas;Ancash;Huarmey;Huarmey;" Centro Cívico Piso 03, pabellón 3 
(Ref. espalda de la Municipalidad de Huarmey)";;Aereo;Mixto;Edificio Monocliente;1;Analista Chimbote;Alberto Zapata O,Roger Palza Transm;Region Norte;Principal;-10.06857264;-78.15127753;Jean Ander Carrillo Laime;Estudio FO Principal;EBC CALLE LOS ANDES;30;;;;9884;0;Enviado VU;;;;;3/05/2019 10:36;9/05/2019 9:07;;;;Pend. Cotiz.
2019-05-118703;ENEL DISTRIBUCION PERU S.A.A.;Fibra Optica;CT VENTANILLA;Juan Noya;PER-002136693;Energía y Recursos Naturales;3/05/2019 10:30;Empresas;Callao;Callao;Ventanilla; Av. Del Bierzo s/n.  Alt. Km 14.5  Av. Nestor Gambeta (Pasando el puente Rio Chillon - Derecha) - V;;Aereo;Mixto;Edificio Monocliente;1;Analista Lima;Jhony Sanca Ezentis,Roger Palza Transm;Lima;Principal;-11.93887787;-77.12286911;Jean Ander Carrillo Laime;Estudio FO Principal;FUNDO MARQUEZ;30;;;;9200;0;Enviado VU;;;;;3/05/2019 10:30;7/05/2019 10:10;;;;Pend. Cotiz.
2019-05-118722;AXIS GL AGENCIA DE ADUANA S.A.C;Fibra Optica;FO_PIURA;Juan Noya;PER-002041683;Alto Valor;3/05/2019 10:58;Negocios;Piura;Paita;Paita;Jr. Junin 560, Pueblo Nuevo de Colán, Paita- PIURA ;;Aereo;Mixto;Edificio Monocliente;1;Analista Piura;Roger Palza Transm,Marco Vilchez;Region Norte;Principal;-4.900162869;-81.05655285;Franklin Mendoza;Estudio FO Principal;PUEBLO NUEVO DE COLAN;30;;;;2700;0;Enviado VU;;;;;3/05/2019 10:58;3/05/2019 19:15;;;;Pend. Cotiz.
2019-05-118723;ENEL DISTRIBUCION PERU S.A.A.;Fibra Optica;SEDE SAN RAMON;Juan Noya;PER-002136693;Energía y Recursos Naturales;3/05/2019 10:53;Empresas;Junin;Chanchamayo;Chanchamayo; Av. Leonardo Alvariño N° 458 Distrito San Ramón, Provincia Chanchamayo, Departamento de Junin.;;Aereo;Mixto;Edificio Monocliente;1;Analista Huancayo;Juan Mesias Echevarria,Roger Palza Transm;Region Sur;Principal;-11.12169341;-75.35453666;Jean Ander Carrillo Laime;Estudio FO Principal;SAN RAMON;20;;;;3851;0;Enviado VU;;;;;3/05/2019 10:53;9/05/2019 19:04;;;;Pend. Cotiz.
2019-05-118725;SERVICIO NACIONAL DE SANIDAD AGRARIA;Fibra Optica;FO_CIRCUNVALACIÓN;Juan Noya;PER-002088723;Licitaciones;3/05/2019 10:56;Empresas;Arequipa;Caraveli;Chala;Av. Circunvalación S/N, SENASA CHALA;;Aereo;Mixto;Edificio Monocliente;1;Analista Arequipa;Juan Malaga Contreras,Roger Palza Transm;Region Sur;Principal;-15.86532459;-74.24581635;Joel Campos Fabian;Estudio FO Principal;CHALA;30;;;;4800;0;Enviado VU;;;;;3/05/2019 10:56;8/05/2019 9:41;;;;Pend. Cotiz.
2019-05-118734;JUPARO PERU E.I.R.L.;Fibra Optica;RIMAC;Juan Noya;PER-002151264;Premium;3/05/2019 11:18;Negocios;Lima;Lima;Rimac;  ALAMEDA LOS BOBOS 295 URB. La HUERTA- rimac;;Aereo;Mixto;Edificio Monocliente;1;Analista Lima;Roger Palza Transm,Jhony Sanca Ezentis;Lima;Principal;-12.03411;-77.025394;Luis Herrera;Estudio FO Principal;RIMAC;30;;;;25600;0;Enviado VU;;;;;3/05/2019 11:18;7/05/2019 11:40;;;;Pend. Cotiz.
2019-05-118742;ENEL DISTRIBUCION PERU S.A.A.;Fibra Optica;CCSS BARRANCA;Juan Noya;PER-002136693;Energía y Recursos Naturales;3/05/2019 11:18;Empresas;Lima;Barranca;Barranca; Calle Alfonso Ugarte N° 280 – Barranca;;Aereo;Mixto;Edificio Monocliente;1;Analista Huacho;Roger Palza Transm,Victor Tamay;Region Norte;Principal;-10.7522246;-77.75916644;Jean Ander Carrillo Laime;Estudio FO Principal;BARRANCA;20;;;;2300;0;Enviado VU;;;;;3/05/2019 11:18;8/05/2019 10:31;;;;Pend. Cotiz.
2019-05-118773;ENEL DISTRIBUCION PERU S.A.A.;Fibra Optica;CCSS HUARAL;Juan Noya;PER-002136693;Energía y Recursos Naturales;3/05/2019 11:35;Empresas;Lima;Huaral;Huaral;" Esquina Av. Solar N°201 y Aparicio 185 – Huaral
";;Aereo;Mixto;Edificio Monocliente;1;Analista Huacho;Victor Tamay,Roger Palza Transm;Region Norte;Principal;-11.49563069;-77.20841744;Jean Ander Carrillo Laime;Estudio FO Principal;HUARAL;20;;;;2000;0;Enviado VU;;;;;3/05/2019 11:35;8/05/2019 10:59;;;;Pend. Cotiz.
2019-05-118786;ENEL DISTRIBUCION PERU S.A.A.;Fibra Optica;CT MALACAS;Juan Noya;PER-002136693;Energía y Recursos Naturales;3/05/2019 11:49;Empresas;Piura;Talara;PariÃ±as; Carretera Talara - Lobitos Km. 3.5;;Aereo;Mixto;Edificio Monocliente;1;Analista Tumbes;Roger Palza Transm,Jean Carlos Flores Valdiviezo;Region Norte;Principal;-4.537141663;-81.26542101;Jean Ander Carrillo Laime;Estudio FO Principal;TALARA;30;;;;38200;0;Enviado VU;;;;;3/05/2019 11:49;9/05/2019 16:17;;;;Pend. Cotiz.
2019-05-118804;FIBERTIM S.A.C.;Fibra Optica;I@S 250MB PISAC;Jose Barandiaran;19-0792;Cableras;3/05/2019 12:42;Mayoristas;Cusco;Calca;Pisac;  PISAC TELEFONICA;;Aereo;Aereo;Edificio Monocliente;0;Analista Cusco;Fernando Rey Transm,Jesús Paniura,Jorge Mendoza Transm;Region Sur;Principal;-13.42473204;-71.85192952;Mayra Huaman;;;;;;;;;;;;;;3/05/2019 12:42;;;;;Pend. Cotiz.
2019-05-118806;COOPERATIVA DE AHORRO Y CREDITO CREDICOOP AREQUIPA;Fibra Optica;Avelino;Juan Noya;PER-002136217;Banca;3/05/2019 13:11;Empresas;Arequipa;Arequipa;J.L. Bustamante Y Ri; C.C. La Isla Of. B-1     ;;Aereo;Aereo;Edificio Monocliente;1;Analista Arequipa;Juan Malaga Contreras,Roger Palza Transm;Region Sur;Principal;-16.42565011;-71.53345843;Frank Kevin Yauta Dominguez;Estudio FO Principal;MONTERREY;30;;;;18800;0;Enviado VU;;;;;3/05/2019 13:11;7/05/2019 10:09;;;;Pend. Cotiz.
2019-05-118807;COOPERATIVA DE AHORRO Y CREDITO CREDICOOP AREQUIPA;Fibra Optica;LA PAZ;Juan Noya;PER-002136217;Banca;3/05/2019 14:42;Empresas;Arequipa;Arequipa;Arequipa; Av. La Paz nº 310     ;;Aereo;Aereo;Edificio Monocliente;1;Analista Arequipa;Juan Malaga Contreras,Roger Palza Transm;Region Sur;Principal;-16.39962469;-71.52847445;Frank Kevin Yauta Dominguez;Estudio FO Principal;EBC BASILICA AREQUIPA;30;;;;8900;0;Enviado VU;;;;;3/05/2019 14:42;7/05/2019 10:12;;;;Pend. Cotiz.
2019-05-118815;SERVICIO DE GESTION AMBIENTAL DE TRUJILLO SEGAT;Fibra Optica;fo_trujillo;Juan Noya;PER-002151082;Estandar;3/05/2019 13:08;Empresas;La Libertad;Trujillo;Trujillo;AV. MANUEL VERA ENRIQUEZ NRO. 171;;Aereo;Mixto;Edificio Monocliente;1;Analista Trujillo;Marco Ingunza Meza;Region Norte;Principal;-8.1061959;-79.0297982;Elojelia Gutierrez Z;;;;;;;;;;;;;;3/05/2019 13:08;;;;;Pend. Cotiz.
2019-05-118818;FIBERTIM S.A.C.;Fibra Optica;I@S 250MB CALCA;Jose Barandiaran;19-0794;Cableras;3/05/2019 13:15;Mayoristas;Cusco;Calca;Calca;TDP CALCA;;Aereo;Aereo;Edificio Monocliente;0;Analista Cusco;Jorge Mendoza Transm,Roberto Butrón;Region Sur;Principal;-13.32065601;-71.95574907;Mayra Huaman;;;;;;;;;;;;;;3/05/2019 13:15;;;;;Pend. Cotiz.
2019-05-118828;ALITEL PERU SAC;Fibra Optica;LIMA;Juan Noya;PER-002149549;Premium;3/05/2019 14:14;Negocios;Lima;Lima;Comas;Calle 79 mz a lote 3 comas;;Aereo;Mixto;Edificio Monocliente;1;Analista Lima;Roger Palza Transm,Jhony Sanca Ezentis;Lima;Principal;-11.9091875;-77.0520625;Wayloung Leung;Estudio FO Principal;EL PINAR - LIMA;15;;;;3500;0;Enviado VU;;;;;3/05/2019 14:14;8/05/2019 14:28;;;;Pend. Cotiz.
2019-05-118846;COOPERATIVA DE AHORRO Y CREDITO CREDICOOP AREQUIPA;Fibra Optica;Ayaviri;Juan Noya;PER-002136217;Banca;3/05/2019 15:30;Empresas;Puno;Melgar;Ayaviri;Jr. Arica nº 407      ;;Aereo;Aereo;Edificio Monocliente;1;Analista Puno;Roger Palza Transm,Jesús Vargas;Region Sur;Principal;-14.88257536;-70.58879391;Frank Kevin Yauta Dominguez;Estudio FO Principal;AYAVIRI;10;;;;3000;0;Enviado VU;;;;;3/05/2019 15:30;9/05/2019 0:56;;;;Pend. Cotiz.
2019-05-118862;COOPERATIVA DE AHORRO Y CREDITO CREDICOOP AREQUIPA;Fibra Optica;Azangaro;Juan Noya;PER-002136217;Banca;3/05/2019 15:45;Empresas;Puno;Azangaro;Azangaro; Jr. 9 de Octubre nº 104      ;;Aereo;Aereo;Edificio Monocliente;1;Analista Puno;Jesús Parisaca,Roger Palza Transm;Region Sur;Principal;-14.90853515;-70.19588996;Frank Kevin Yauta Dominguez;Estudio FO Principal;AZANGARO;30;;;;8700;0;Enviado VU;;;;;3/05/2019 15:45;9/05/2019 0:51;;;;Pend. Cotiz.
2019-05-118885;CENTRIA SERVICIOS ADMINISTRATIVOS S.A. - CENTRIA S.A.;Fibra Optica;Vegueta;Juan Noya;PER-001935945;Licitaciones;3/05/2019 16:36;Empresas;Lima;Huaura;Vegueta; Caleta de Végueta S/N  - Huacho;;Aereo;Mixto;Edificio Monocliente;1;Analista Huacho;Marco Arevalo,Roger Palza Transm;Region Norte;Principal;-11.00694726;-77.65231294;Diego Alejandro Herrera Salas;Estudio FO Principal;VEGUETA;30;;;;30800;0;Enviado VU;;;;;3/05/2019 16:36;9/05/2019 12:54;;;;Pend. Cotiz.
2019-05-118892;COOPERATIVA DE AHORRO Y CREDITO CREDICOOP AREQUIPA;Fibra Optica;Yunguyo;Juan Noya;PER-;Banca;3/05/2019 16:55;Empresas;Puno;Yunguyo;Yunguyo; Jr. San Martin nº 107   ;;Aereo;Aereo;Edificio Monocliente;1;Analista Puno;Jesús Vargas,Roger Palza Transm;Region Sur;Principal;-16.24664833;-69.09467343;Frank Kevin Yauta Dominguez;Estudio FO Principal;YUNGUYO;15;;;;5700;0;Enviado VU;;;;;3/05/2019 16:55;8/05/2019 23:53;;;;Pend. Cotiz.
2019-05-118895;COOPERATIVA DE AHORRO Y CREDITO CREDICOOP AREQUIPA;Fibra Optica;Ilave;Juan Noya;PER-002136217;Banca;3/05/2019 17:12;Empresas;Puno;El Collao;Ilave; Jr. 28 de Julio Nº 314   ;;Aereo;Aereo;Edificio Monocliente;1;Analista Puno;Jesús Parisaca,Roger Palza Transm;Region Sur;Principal;-16.08736403;-69.63879158;Frank Kevin Yauta Dominguez;Estudio FO Principal;ILAVE;15;;;;5700;0;Enviado VU;;;;;3/05/2019 17:12;8/05/2019 23:42;;;;Pend. Cotiz.
