ITEM_PLAN;CTO_SIROPE;CTO_GIS_CMS;DIRECCION;NUMERO;TIPO;PISO;X;Y
19-2111200198;CRU0TK200434;CRG8020434;TORRES A - B;;;7;-76.99633264;-12.18228098
19-2111200198;CRU0TK200435;CRG8020435;TORRES A - B;;;1;-76.99633264;-12.18228098
19-2111200198;CRU0TK200436;CRG8020436;TORRES A - B;;;3;-76.99633264;-12.18228098
19-2111200198;CRU0TK200437;CRG8020437;TORRES A - B;;;5;-76.99633264;-12.18228098
19-2111200198;CRU0TK200438;CRG8020438;TORRES A - B;;;7;-76.99633264;-12.18228098
19-2111200198;CRU0TK200441;CRG8020441;TORRES C - D;;;1;-76.99633264;-12.18228098
19-2111200198;CRU0TK200442;CRG8020442;TORRES C - D;;;3;-76.99633264;-12.18228098
19-2111200198;CRU0TK200443;CRG8020443;TORRES C - D;;;5;-76.99633264;-12.18228098
19-2111200198;CRU0TK200444;CRG8020444;TORRES C - D;;;7;-76.99633264;-12.18228098
19-2111200198;CRU0TK200445;CRG8020445;TORRES C - D;;;1;-76.99633264;-12.18228098
19-2111200198;CRU0TK200446;CRG8020446;TORRES C - D;;;3;-76.99633264;-12.18228098
19-2111200198;CRU0TK200447;CRG8020447;TORRES C - D;;;5;-76.99633264;-12.18228098
19-2111200198;CRU0TK200448;CRG8020448;TORRES C - D;;;7;-76.99633264;-12.18228098
19-2111200176;MOU3TK501043;;AL. MONTE UMBROSO 285;;;2;-76.98046023;-12.11419223
19-2111200176;MOU3TK501044;;AL. MONTE UMBROSO 285;;;4;-76.98046023;-12.11419223
19-2111200140;HITK601663;;CA. HERMANOS QUINTERO 197;;;2;-77.00133775;-12.1331607
19-2111200140;HITK601664;;CA. HERMANOS QUINTERO 197;;;4;-77.00133775;-12.1331607
19-2111200138;MOU3TK200631;;EDIFICIO MONTE ROSA 1;;;3;-76.98998958;-12.11191684
19-2111200138;MOU3TK200632;;EDIFICIO MONTE ROSA 1;;;5;-76.98998958;-12.11191684
19-2111200136;CRUOTK201141;;CA. TTE. CARLOS JIMENEZ 111 - TORRE C;;;1;-77.0001731;-12.17369516
19-2111200136;CRUOTK201142;;CA. TTE. CARLOS JIMENEZ 111 - TORRE C;;;2;-77.0001731;-12.17369516
19-2111200136;CRUOTK201143;;CA. TTE. CARLOS JIMENEZ 111 - TORRE C;;;3;-77.0001731;-12.17369516
19-2111200136;CRUOTK201144;;CA. TTE. CARLOS JIMENEZ 111 - TORRE C;;;4;-77.0001731;-12.17369516
19-2111200136;CRUOTK201145;;CA. TTE. CARLOS JIMENEZ 111 - TORRE C;;;5;-77.0001731;-12.17369516
19-2111200136;CRUOTK201146;;CA. TTE. CARLOS JIMENEZ 111 - TORRE C;;;6;-77.0001731;-12.17369516
19-2111200136;CRUOTK201147;;CA. TTE. CARLOS JIMENEZ 111 - TORRE C;;;7;-77.0001731;-12.17369516
19-2111200136;CRUOTK201148;;CA. TTE. CARLOS JIMENEZ 111 - TORRE C;;;8;-77.0001731;-12.17369516
19-2111200130;HITK501971;;EDIFICIO MARCONA;;;3;-76.99147628;-12.12035636
19-2111200128;MOU3TK400936;;JR. BATALLON TARMA 428;;;;-76.97933841;-12.11851563
19-2111200127;MOTK701081;;EDIFICIO CIRUELOS;;;1;-76.98339618;-12.07947877
19-2111200125;MOTK701082;;EDIFICIO HIEDRAS;;;1;-76.98422431;-12.07937671
19-2111200120;MOTK200111;;EDIFICIO JAZMINES;;;1;-76.99367025;-12.07623169
19-2111200095;MOTK700534;;EDIFICIO TRINITARIAS;;;2;-76.98081893;-12.08043944
19-2111200095;MOTK700535;;EDIFICIO TRINITARIAS;;;4;-76.98081893;-12.08043944
19-2111200091;HITK603081;;EDIFICIO LEON GARCÍA 30;;;2;-76.99620052;-12.12766025
19-2111200091;HITK603082;;EDIFICIO LEON GARCÍA 30;;;4;-76.99620052;-12.12766025
19-2111200088;MOU1D100438;;CA. LOS FRESNOS 182;;;2;-76.97537844;-12.12558721
19-2111200086;MOTK701441;;CA. EL CORTIJO 262;;;;-76.97940303;-12.07811706
19-2111200070;CRU0TK200651;MONTANTE 2;AV. LOS FAISANES 345;;;;-76.99973413;-12.17775094
19-2111200070;CRU0TK200652;MONTANTE 2;AV. LOS FAISANES 345;;;2;-76.99973413;-12.17775094
19-2111200070;CRU0TK200653;MONTANTE 2;AV. LOS FAISANES 345;;;3;-76.99973413;-12.17775094
19-2111200070;CRU0TK200654;MONTANTE 2;AV. LOS FAISANES 345;;;4;-76.99973413;-12.17775094
19-2111200070;CRU0TK200655;MONTANTE 2;AV. LOS FAISANES 345;;;5;-76.99973413;-12.17775094
19-2111200070;CRU0TK200656;MONTANTE 2;AV. LOS FAISANES 345;;;6;-76.99973413;-12.17775094
19-2111200070;CRU0TK200657;MONTANTE 2;AV. LOS FAISANES 345;;;8;-76.99973413;-12.17775094
19-2111200070;CRU0TK200658;MONTANTE 2;AV. LOS FAISANES 345;;;9;-76.99973413;-12.17775094
19-2111200070;CRU0TK200661;MONTANTE 1;AV. LOS FAISANES 345;;;;-76.99973413;-12.17775094
19-2111200070;CRU0TK200662;MONTANTE 1;AV. LOS FAISANES 345;;;2;-76.99973413;-12.17775094
19-2111200070;CRU0TK200663;MONTANTE 1;AV. LOS FAISANES 345;;;4;-76.99973413;-12.17775094
19-2111200070;CRU0TK200664;MONTANTE 1;AV. LOS FAISANES 345;;;6;-76.99973413;-12.17775094
19-2111200070;CRU0TK200665;MONTANTE 1;AV. LOS FAISANES 345;;;8;-76.99973413;-12.17775094
19-2111200051;MOU3TK500334;;AV. DE LOS PRECURSORES 575;;;1;-76.98028162;-12.11639404
19-2111200051;MOU3TK500335;;AV. DE LOS PRECURSORES 575;;;3;-76.98028162;-12.11639404
19-2111200051;MOU3TK500336;;AV. DE LOS PRECURSORES 575;;;5;-76.98028162;-12.11639404
19-2111200044;BAU0TK400261;;EDIFICIO EL SOL;;;1;-77.02410018;-12.13940138
19-2111200044;BAU0TK400262;;EDIFICIO EL SOL;;;4;-77.02410018;-12.13940138
19-2111200044;BAU0TK400263;;EDIFICIO EL SOL;;;8;-77.02410018;-12.13940138
19-2111200037;CRU0TK201661;;EDIFICIO CURRIL;;;1;-77.01261139;-12.17681023
19-2111200037;CRU0TK201662;;EDIFICIO CURRIL;;;3;-77.01261139;-12.17681023
19-2111200033;CRU2TK101541;;CA. PIERRE SIMON LAPLACE MZ G LT 4;;;1;-76.98963096414 -;12.1685996
19-2111200032;BAU0TK100304;;TDP;;;2;-77.00681338;-12.15074752
19-2111200032;BAU0TK100305;;TDP;;;4;-77.00681338;-12.15074752
19-2111200031;BAU0TK400431;;EDIFICIO SAN MARTIN;;;4;-77.02282477;-12.14571865
19-2111200031;BAU0TK400432;;EDIFICIO SAN MARTIN;;;2;-77.02282477;-12.14571865
19-2111200031;BAU0TK400433;;EDIFICIO SAN MARTIN;;;1;-77.02282477;-12.14571865
19-2111200031;BAU0TK400434;;EDIFICIO SAN MARTIN;;;0;-77.02282477;-12.14571865
19-2111200029;BATK401621;;ETAPA 1 - COMBATE DE ANGAMOS;;;1;-77.01026427;-12.14071133
19-2111200029;BATK401622;;ETAPA 1 - COMBATE DE ANGAMOS;;;2;-77.01026427;-12.14071133
19-2111200029;BATK401623;;ETAPA 1 - COMBATE DE ANGAMOS;;;4;-77.01026427;-12.14071133
19-2111200029;BATK401624;;ETAPA 1 - COMBATE DE ANGAMOS;;;5;-77.01026427;-12.14071133
19-2111200029;BATK401625;;ETAPA 1 - COMBATE DE ANGAMOS;;;6;-77.01026427;-12.14071133
19-2111200029;BATK401626;;ETAPA 1 - COMBATE DE ANGAMOS;;;8;-77.01026427;-12.14071133
19-2111200029;BATK401627;;ETAPA 1 - COMBATE DE ANGAMOS;;;9;-77.01026427;-12.14071133
19-2111200029;BATK401631;;ETAPA 1 - COMBATE DE ANGAMOS;;;-1;-77.01026427;-12.14071133
19-2111200029;BATK401632;;ETAPA 1 - COMBATE DE ANGAMOS;;;2;-77.01026427;-12.14071133
19-2111200029;BATK401633;;ETAPA 1 - COMBATE DE ANGAMOS;;;4;-77.01026427;-12.14071133
19-2111200029;BATK401634;;ETAPA 1 - COMBATE DE ANGAMOS;;;6;-77.01026427;-12.14071133
19-2111200029;BATK401635;;ETAPA 1 - COMBATE DE ANGAMOS;;;8;-77.01026427;-12.14071133
19-2111200029;BATK401641;;ETAPA 1 - COMBATE DE ANGAMOS;;;-1;-77.01026427;-12.14071133
19-2111200029;BATK401642;;ETAPA 1 - COMBATE DE ANGAMOS;;;2;-77.01026427;-12.14071133
19-2111200029;BATK401643;;ETAPA 1 - COMBATE DE ANGAMOS;;;4;-77.01026427;-12.14071133
19-2111200029;BATK401644;;ETAPA 1 - COMBATE DE ANGAMOS;;;6;-77.01026427;-12.14071133
19-2111200029;BATK401645;;ETAPA 1 - COMBATE DE ANGAMOS;;;8;-77.01026427;-12.14071133
19-2111200027;BAU0TK401411;;EDIFICIO FAMILIAR;;;0;-77.02250347;-12.1361495
19-2111200027;BAU0TK401412;;EDIFICIO FAMILIAR;;;3;-77.02250347;-12.1361495
19-2111200027;BAU0TK401413;;EDIFICIO FAMILIAR;;;6;-77.02250347;-12.1361495
19-2111200027;BAU0TK401414;;EDIFICIO FAMILIAR;;;9;-77.02250347;-12.1361495
19-2111200027;BAU0TK401415;;EDIFICIO FAMILIAR;;;13;-77.02250347;-12.1361495
19-2111200027;BAU0TK401416;;EDIFICIO FAMILIAR;;;15;-77.02250347;-12.1361495
19-2111200027;BAU0TK401417;;EDIFICIO FAMILIAR;;;17;-77.02250347;-12.1361495
19-2111200027;BAU0TK401418;;EDIFICIO FAMILIAR;;;19;-77.02250347;-12.1361495
19-2111200027;BAU0TK401421;;EDIFICIO FAMILIAR;;;0;-77.02250347;-12.1361495
19-2111200027;BAU0TK401422;;EDIFICIO FAMILIAR;;;3;-77.02250347;-12.1361495
19-2111200027;BAU0TK401423;;EDIFICIO FAMILIAR;;;6;-77.02250347;-12.1361495
19-2111200027;BAU0TK401424;;EDIFICIO FAMILIAR;;;9;-77.02250347;-12.1361495
19-2111200027;BAU0TK401425;;EDIFICIO FAMILIAR;;;13;-77.02250347;-12.1361495
19-2111200027;BAU0TK401426;;EDIFICIO FAMILIAR;;;15;-77.02250347;-12.1361495
19-2111200027;BAU0TK401427;;EDIFICIO FAMILIAR;;;17;-77.02250347;-12.1361495
19-2111200027;BAU0TK401428;;EDIFICIO FAMILIAR;;;19;-77.02250347;-12.1361495
19-2111200027;BAU0TK401431;;EDIFICIO ESTELAR;;;1;-77.0222131;-12.13733734
19-2111200027;BAU0TK401432;;EDIFICIO ESTELAR;;;2;-77.0222131;-12.13733734
19-2111200027;BAU0TK401433;;EDIFICIO ESTELAR;;;4;-77.0222131;-12.13733734
19-2111200027;BAU0TK401434;;EDIFICIO ESTELAR;;;6;-77.0222131;-12.13733734
19-2111200027;BAU0TK401435;;EDIFICIO ESTELAR;;;7;-77.0222131;-12.13733734
19-2111200027;BAU0TK401436;;EDIFICIO ESTELAR;;;8;-77.0222131;-12.13733734
19-2111200027;BAU0TK401437;;EDIFICIO ESTELAR;;;10;-77.0222131;-12.13733734
19-2111200027;BAU0TK401438;;EDIFICIO ESTELAR;;;12;-77.0222131;-12.13733734
19-2111200027;BAU0TK401441;;EDIFICIO ESTELAR;;;13;-77.0222131;-12.13733734
19-2111200027;BAU0TK401442;;EDIFICIO ESTELAR;;;14;-77.0222131;-12.13733734
19-2111200027;BAU0TK401443;;EDIFICIO ESTELAR;;;16;-77.0222131;-12.13733734
19-2111200027;BAU0TK401444;;EDIFICIO ESTELAR;;;18;-77.0222131;-12.13733734
19-2111200027;BAU0TK401445;;EDIFICIO ESTELAR;;;20;-77.0222131;-12.13733734
19-2111200027;BAU0TK401451;;EDIFICIO ESTELAR;;;1;-77.0222131;-12.13733734
19-2111200027;BAU0TK401452;;EDIFICIO ESTELAR;;;2;-77.0222131;-12.13733734
19-2111200027;BAU0TK401453;;EDIFICIO ESTELAR;;;4;-77.0222131;-12.13733734
19-2111200027;BAU0TK401454;;EDIFICIO ESTELAR;;;6;-77.0222131;-12.13733734
19-2111200027;BAU0TK401455;;EDIFICIO ESTELAR;;;7;-77.0222131;-12.13733734
19-2111200027;BAU0TK401456;;EDIFICIO ESTELAR;;;8;-77.0222131;-12.13733734
19-2111200027;BAU0TK401457;;EDIFICIO ESTELAR;;;10;-77.0222131;-12.13733734
19-2111200027;BAU0TK401458;;EDIFICIO ESTELAR;;;12;-77.0222131;-12.13733734
19-2111200027;BAU0TK401461;;EDIFICIO ESTELAR;;;13;-77.0222131;-12.13733734
19-2111200027;BAU0TK401462;;EDIFICIO ESTELAR;;;14;-77.0222131;-12.13733734
19-2111200027;BAU0TK401463;;EDIFICIO ESTELAR;;;16;-77.0222131;-12.13733734
19-2111200027;BAU0TK401464;;EDIFICIO ESTELAR;;;18;-77.0222131;-12.13733734
19-2111200027;BAU0TK401465;;EDIFICIO ESTELAR;;;20;-77.0222131;-12.13733734
19-2111102254;SBG0301501;;PSJE. BRENT 491;;;1;-77.00307553;-12.10787283
19-2111102252;SBG0301301;;CA.JUAN BENITES 149;;;1;-77.0028428;-12.10827672
19-2111102245;SBG0131201;;CALLE GOZZOLI NORTE 415;;;1;-77.00415792;-12.10186891
19-2111102242;SBG0131501;;JR.GOZZOLI NORTE 513;;;1;-77.00208442;-12.10191981
19-2111102229;SBG0281201;;CA.MUELLE 248;;;1;-77.00222495;-12.10898983
19-2111102223;SBG0162501;;CA.PIRANDELLO 141;;;1;-77.00495258;-12.09570522
19-2111102219;MATK102538;MAG8102538;ESTADOS UNIDOS 297;;;7;-77.05520022;-12.08027122
19-2111102203;SBG0531201;;AV. SAN BORJA NORTE 913;;;5;-76.9968468;-12.09268701
19-2111102203;SBG0531202;;AV. SAN BORJA NORTE 913;;;2;-76.9968468;-12.09268701
19-2111102198;SJTK402951;SJG8402951;LAS AGUILAS 284 TORRE 2;;;16;-77.09344368;-12.06077169
19-2111102198;SJTK402952;SJG8402952;LAS AGUILAS 284 TORRE 2;;;14;-77.09344368;-12.06077169
19-2111102198;SJTK402953;SJG8402953;LAS AGUILAS 284 TORRE 2;;;12;-77.09344368;-12.06077169
19-2111102198;SJTK402954;SJG8402954;LAS AGUILAS 284 TORRE 2;;;10;-77.09344368;-12.06077169
19-2111102198;SJTK402955;SJG8402955;LAS AGUILAS 284 TORRE 2;;;8;-77.09344368;-12.06077169
19-2111102198;SJTK402956;SJG8402956;LAS AGUILAS 284 TORRE 2;;;6;-77.09344368;-12.06077169
19-2111102198;SJTK402957;SJG8402957;LAS AGUILAS 284 TORRE 2;;;4;-77.09344368;-12.06077169
19-2111102198;SJTK402958;SJG8402958;LAS AGUILAS 284 TORRE 2;;;2;-77.09344368;-12.06077169
19-2111102198;SJTK402961;SJG8402961;LAS AGUILAS 284 TORRE 2;;;16;-77.09344368;-12.06077169
19-2111102198;SJTK402962;SJG8402962;LAS AGUILAS 284 TORRE 2;;;14;-77.09344368;-12.06077169
19-2111102198;SJTK402963;SJG8402963;LAS AGUILAS 284 TORRE 2;;;12;-77.09344368;-12.06077169
19-2111102198;SJTK402964;SJG8402964;LAS AGUILAS 284 TORRE 2;;;10;-77.09344368;-12.06077169
19-2111102198;SJTK402965;SJG8402965;LAS AGUILAS 284 TORRE 2;;;8;-77.09344368;-12.06077169
19-2111102198;SJTK402966;SJG8402966;LAS AGUILAS 284 TORRE 2;;;6;-77.09344368;-12.06077169
19-2111102198;SJTK402967;SJG8402967;LAS AGUILAS 284 TORRE 2;;;4;-77.09344368;-12.06077169
19-2111102198;SJTK402968;SJG8402968;LAS AGUILAS 284 TORRE 2;;;2;-77.09344368;-12.06077169
19-2111102185;SIG0202617;SIG9022617;LOS ALAMOS 291;;;5;-77.04189141;-12.09282767
19-2111102185;SIG0202618;SIG9022618;LOS ALAMOS 291;;;3;-77.04189141;-12.09282767
19-2111102184;SIG0202612;SIG9022612;JAVIER PRADO OESTE 1068;;;14;-77.04158971;-12.09303118
19-2111102184;SIG0202613;SIG9022613;JAVIER PRADO OESTE 1068;;;11;-77.04158971;-12.09303118
19-2111102184;SIG0202614;SIG9022614;JAVIER PRADO OESTE 1068;;;8;-77.04158971;-12.09303118
19-2111102184;SIG0202615;SIG9022615;JAVIER PRADO OESTE 1068;;;5;-77.04158971;-12.09303118
19-2111102184;SIG0202616;SIG9022616;JAVIER PRADO OESTE 1068;;;2;-77.04158971;-12.09303118
19-2111102139;SITK1101951;;AV. JORGE BASADRE 1385;;;12;-77.04559167;-12.0961213
19-2111102139;SITK1101952;;AV. JORGE BASADRE 1385;;;7;-77.04559167;-12.0961213
19-2111102139;SITK1101953;;AV. JORGE BASADRE 1385;;;1;-77.04559167;-12.0961213
19-2111102105;SIG0301041;;AV. JORGE BASADRE 1175;;;2;-77.04324068;-12.09586287
19-2111102085;SITK201411;;CALLE LOS ROBLES 302_TORRE B;;;12;-77.04318907;-12.09393228
19-2111102085;SITK201412;;CALLE LOS ROBLES 302_TORRE B;;;9;-77.04318907;-12.09393228
19-2111102085;SITK201413;;CALLE LOS ROBLES 302_TORRE B;;;5;-77.04318907;-12.09393228
19-2111102085;SITK201414;;CALLE LOS ROBLES 302_TORRE B;;;2;-77.04318907;-12.09393228
19-2111102085;SITK201415;;CALLE LOS ROBLES 302_TORRE A;;;13;-77.04318907;-12.09393228
19-2111102085;SITK201416;;CALLE LOS ROBLES 302_TORRE A;;;10;-77.04318907;-12.09393228
19-2111102085;SITK201417;;CALLE LOS ROBLES 302_TORRE A;;;7;-77.04318907;-12.09393228
19-2111102085;SITK201418;;CALLE LOS ROBLES 302_TORRE A;;;5;-77.04318907;-12.09393228
19-2111102085;SITK201421;;CALLE LOS ROBLES 302_TORRE A;;;2;-77.04318907;-12.09393228
19-2111102035;SIG0401131;SIG0941131;ARAMBURU 923;;;3;-77.02077101;-12.10180243
19-2111101980;SIG0203021;;CA. LOS SAUCES 286;;;12;-77.03798658;-12.09255866
19-2111101980;SIG0203022;;CA. LOS SAUCES 286;;;9;-77.03798658;-12.09255866
19-2111101980;SIG0203023;;CA. LOS SAUCES 286;;;5;-77.03798658;-12.09255866
19-2111101980;SIG0203024;;CA. LOS SAUCES 286;;;2;-77.03798658;-12.09255866
19-2111101979;SIG0202626;SIG9022626;LOS CIPRESES 268;;;10;-77.04100218;-12.09290641
19-2111101979;SIG0202627;SIG9022627;LOS CIPRESES 268;;;6;-77.04100218;-12.09290641
19-2111101979;SIG0202628;SIG9022628;LOS CIPRESES 268;;;2;-77.04100218;-12.09290641
19-2111101978;SIG0202631;SIG9022631;LOS CIPRESES 261;;;1;-77.04105857;-12.09271544
19-2111101975;SIG0202611;;LOS CIPRESES 296;;;8;-77.04140008;-12.09314136
19-2111101974;SIG0202511;;CA. LOS CEDROS 299;;;11;-77.04379153;-12.0931428
19-2111101974;SIG0202512;;CA. LOS CEDROS 299;;;6;-77.04379153;-12.0931428
19-2111101974;SIG0202513;;CA. LOS CEDROS 299;;;1;-77.04379153;-12.0931428
19-2111101973;SIG0202621;SIG9022621;JAVIER PRADO OESTE 970;;;15;-77.04105472;-12.09311549
19-2111101973;SIG0202622;SIG9022622;JAVIER PRADO OESTE 970;;;10;-77.04105472;-12.09311549
19-2111101973;SIG0202623;SIG9022623;JAVIER PRADO OESTE 970;;;8;-77.04105472;-12.09311549
19-2111101973;SIG0202624;SIG9022624;JAVIER PRADO OESTE 970;;;7;-77.04105472;-12.09311549
19-2111101973;SIG0202625;SIG9022625;JAVIER PRADO OESTE 970;;;2;-77.04105472;-12.09311549
19-2111101942;SIG0100811;;2 DE MAYO 1766;;;9;-77.04939209;-12.09259663
19-2111101942;SIG0100812;;2 DE MAYO 1766;;;3;-77.04939209;-12.09259663
19-2111101927;SIG0100817;SIG9010817;2 DE MAYO 1830;;;11;-77.05033103;-12.09270038
19-2111101927;SIG0100821;SIG9010821;2 DE MAYO 1830;;;5;-77.05033103;-12.09270038
19-2111101912;SIG0100711;SIG9010711;2 DE MAYO 1860;;;13;-77.05048997;-12.09272207
19-2111101912;SIG0100712;SIG9010712;2 DE MAYO 1860;;;8;-77.05048997;-12.09272207
19-2111101912;SIG0100713;SIG9010713;2 DE MAYO 1860;;;3;-77.05048997;-12.09272207
19-2111101878;SBG0841901;SBG0841901;JOSE GALVEZ BARRENECHEA 351;;;3;-77.01306623;-12.09400753
19-2111101865;SBG0432202;;GUARDIA CIVIL 1288;;;5;-77.01627939;-12.10521138
19-2111101865;SBG0432203;;GUARDIA CIVIL 1288;;;2;-77.01627939;-12.10521138
19-2111101854;SBG0432201;;GUARDIA CIVIL 1170;;;5;-77.01561286;-12.10405532
19-2111101800;SBG0761401;;CALLE BOTTICELLI 178;;;;-77.00076991;-12.09007078
19-2111101779;SBG0242805;;AV. SAN BORJA SUR 765;;;2;-76.99771854;-12.09985352
19-2111101777;SBG0451801;;AV. JOSE GALVEZ BARNECHEA 881_TORRE 1;;;1;-77.01126421;-12.10245835
19-2111101777;SBG0451802;;AV. JOSE GALVEZ BARNECHEA 881_EDIFICIO 1;;;1;-77.01122873;-12.10257009
19-2111101777;SBG0451803;;AV. JOSE GALVEZ BARNECHEA 881_EDIFICIO 2;;;1;-77.01122873;-12.10257009
19-2111101777;SBG0451804;;AV. JOSE GALVEZ BARNECHEA 881_EDIFICIO 3;;;1;-77.01122873;-12.10257009
19-2111101760;SBG0242803;;AV. SAN BORJA SUR 799;;;;-76.9969951;-12.09977245
19-2111101760;SBG0242804;;AV. SAN BORJA SUR 799;;;;-76.9969951;-12.09977245
19-2111101742;SBG0801801;;CA.BERNINI 221;;;;-77.00671575;-12.09052228
19-2111101741;SBG0791401;;JR.LEONARDO DA VINCI 474;;;2;-77.00153012;-12.09383869
19-2111101728;SBG0562001;;CALLE BERNINI 426;;;;-77.00858765;-12.09339879
19-2111101724;SBG0562201;;JR. TASSO 191;;;;-77.00730265;-12.09424387
19-2111101711;SBG0021501;SBG0021501;BERNSTEIN 223;;;2;-76.99603691;-12.10806818
19-2111101707;SBG0201101;;AV. SAN BORJA SUR 949;;;;-76.99380043;-12.09972876
19-2111101707;SBG0201102;;AV. SAN BORJA SUR 949;;;;-76.99380043;-12.09972876
19-2111101682;SBG0192001;;AV. SAN BORJA SUR 1015;;;6;-76.9925761;-12.10024393
19-2111101682;SBG0192002;;AV. SAN BORJA SUR 1015;;;;-76.9925761;-12.10024393
19-2111101648;SBG0141701;;CA. MARCHAND 403;;;;-77.00245234;-12.09986162
19-2111101644;SBG0531101;;AV. SAN BORJA NORTE N°971;;;5;-76.9963056;-12.09269585
19-2111101644;SBG0531102;;AV. SAN BORJA NORTE N°971;;;2;-76.9963056;-12.09269585
19-21111016424;SBG0141702;;JR. MARCHAND 399;;;;-77.00245401;-12.09958422
19-2111101630;SBG0141901;;CL. MATIER 212;;;;-77.00380322;-12.09993751
19-2111101619;SBG0151903;;RENIOR 201;;;1;-77.00400191;-12.0992191
19-2111101618;SBG0151902;;RENIOR 255;;;;-77.00343074;-12.09918945
19-2111101615;SBG0151901;;RENIOR 227;;;;-77.00367026;-12.0991613
19-2111101596;SBG0491205;SBG0491205;SAN BORJA NORTE 1360;;;1;-76.98965769;-12.09629083
19-2111101582;SBG0512301;;ANDREA DEL SARTO 126;;;2;-76.99500767;-12.0942489
19-2111101556;SBG0521301;;AV. SAN BORJA NORTE 714;;;;-77.00066288;-12.09452693
19-2111101539;SBG0061501;;AV. SAN BORJA SUR 718;;;;-76.99804536;-12.10093342
19-2111101531;SBG0061601;;AV. SAN BORJA SUR 728;;;1;-76.99790124;-12.10086367
19-2111101512;SBG0181601;;CA. PREISING 166;;;1;-76.99071191;-12.09812611
19-2111101508;SBG0761201;;CALLE DONATELLO 186;;;;-77.00045104;-12.09009168
19-2111101494;SBG0471201;;CA. SALZILLO 133;;;1;-77.00777029;-12.09617843
19-2111101493;SBG0082001;;SAN BORJA SUR 119;;;3;-77.0094654;-12.09732404
19-2111101472;SBG0522901;;AV. SAN BORJA NORTE 834;;;2;-76.99840914;-12.0938718
19-2111101436;SBG0162201;;AV. LAS ARTES SUR 120;;;;-77.00596037;-12.09501262
19-2111101430;SBG0561602;;PORTINARI 124;;;1;-77.0078807;-12.09346784
19-2111101409;SBG0051601;;CALLE CHUECA 115;;;1;-76.99521915;-12.10366415
19-2111101354;MAG0202036;;CAYETANO HEREDIA 309;;;5;-77.05721912;-12.07573379
19-2111101350;MAG0202035;;CAYETANO HEREDIA 237;;;5;-77.05681339;-12.07636045
19-2111101349;WATK300321;WAG8030321;MANUEL BELGRANO 499;;;6;-77.0582168;-12.06732072
19-2111101342;MATK300813;;SAN MARTIN 870;;;6;-77.06233705;-12.07513485
19-2111101342;MATK300814;;SAN MARTIN 870;;;6;-77.06233705;-12.07513485
19-2111101338;MATK1001054;;JOSE GREGORIO PAREDES 2715;;;5;-77.0631768;-12.08494028
19-2111101337;MATK1001053;;J. MORALES ALPACA 27;;;4;-77.06318239;-12.08427354
19-2111101336;LIU0G0102823;LIG9010282;BERNARDO ALCEDO 280;;;7;-77.03352946;-12.08468101
19-2111101333;LIU0G010312;;GRAL. CORDOVA 2334;;;5;-77.03756826;-12.0878189
19-2111101333;LIU0G010313;;GRAL. CORDOVA 2334;;;5;-77.03756826;-12.0878189
19-2111101332;SIG0686404;;PLAZA DEL SOL TORRE A - CA.BEGONIAS 475;;;;-77.02420567;-12.09344483
19-2111101331;SIG0686403;;PLAZA DEL SOL TORRE C - CA.BEGONIAS 441;;;;-77.02407296;-12.092935
19-2111101330;SITK200221;;LOS CASTAÑOS 430;;;1;-77.0506442;-12.0964935
19-2111101330;SITK200222;;LOS CASTAÑOS 430;;;1;-77.0506442;-12.0964935
19-2111101326;SIG0071901;;EDIF.ALKA-AV.CONQUISTADORES/PARDOYALIAGA;;;5;-77.03741648;-12.10753846
19-2111101326;SIG0071902;;EDIF.ALKA-AV.CONQUISTADORES/PARDOYALIAGA;;;3;-77.03741648;-12.10753846
19-2111101326;SIG0071903;;EDIF.ALKA-AV.CONQUISTADORES/PARDOYALIAGA;;;1;-77.03741648;-12.10753846
19-2111101326;SIG0925A;;EDIF.ALKA-AV.CONQUISTADORES/PARDOYALIAGA;;;6;-77.03741648;-12.10753846
19-2111101326;SIG0925B;;EDIF.ALKA-AV.CONQUISTADORES/PARDOYALIAGA;;;2;-77.03741648;-12.10753846
19-2111101324;SITK1200224;;ALFREDO SALAZAR 152;;;6;-77.04681183;-12.10553566
19-2111101323;SITK1200225;;ALFREDO SALAZAR 168;;;6;-77.04701407;-12.10550978
19-2111101322;SIG008D0901;;ALVAREZ CALDERON 290;;;2;-77.04151566;-12.10466208
19-2111101321;MATK102237;;TIZON Y BUENO 660;;;4;-77.05002235;-12.07993868
19-2111101320;WATK300271;;HUSARES DE JUNIN 569;;;5;-77.04982141;-12.07805996
19-2111101319;MAG0103286;;DANIEL HERNANDEZ 457;;;5;-77.06200279;-12.08914173
19-2111101314;LIU0TK300123;;SANTA CATALINA 604;;;5;-77.01905033;-12.08707107
19-2111101313;HITK502863;;EDIFICIO PASCAL;;;1;-77.00183168;-12.11486575
19-2111101313;HITK502864;;EDIFICIO PASCAL;;;3;-77.00183168;-12.11486575
19-2111101313;HITK502865;;EDIFICIO PASCAL;;;5;-77.00183168;-12.11486575
19-2111101313;HITK502866;;EDIFICIO PASCAL;;;7;-77.00183168;-12.11486575
19-2111101313;HITK502867;;EDIFICIO PASCAL;;;9;-77.00183168;-12.11486575
19-2111101309;LIU0TK202234;;PEZET Y MONET 2104;;;6;-77.04220733;-12.08719452
19-2111101309;LIU0TK202235;;PEZET Y MONET 2104;;;6;-77.04220733;-12.08719452
