ITEM_PLAN;CTO_SIROPE;CTO_GIS_CMS;DIRECCION;NUMERO;TIPO;PISO;X;Y
19-2121500472;SSLLLFTK100758;;CA. JUAN JULIO GANOZA;;;;-79.0397467;-8.131056309
19-2121500458;SSLLLFTK100775;;CA. LAS CHIRAS 255;;;;-79.04212945;-8.130249892
19-2121500456;LLLFTK100853;;CA. LOS TULIPANES 313;;;;-79.04081552;-8.135049005
19-2121500455;LLLFTK300272;;CL. LAS AZUCENAS 222;;;;-79.02997428;-8.139431111
19-2121500452;LLLFTK300281;;CA. EL PALMAR 105;;;;-79.032896;-8.138914246
19-2121500440;LLLFTK300255;;AV. LAS PALMAS 400;;;6;-79.03082763;-8.144283466
19-2121500440;LLLFTK300256;;AV. LAS PALMAS 400;;;4;-79.03082763;-8.144283466
19-2121500440;LLLFTK300257;;AV. LAS PALMAS 400;;;2;-79.03082763;-8.144283466
19-2121500440;LLLFTK300258;;AV. LAS PALMAS 400;;;1;-79.03082763;-8.144283466
19-2121500435;LLTRG0101082;;JR. SOLANO FRANCISCO 463;;;;-79.03722598;-8.117042119
19-2121500432;LLLFTK300282;;CA. EL PALMAR 111;;;;-79.03308052;-8.139085941
19-2121500431;LLLFTK300261;;AV. LAS PALMAS MZ A LT 1;;;;-79.03055073;-8.143920249
19-2121500422;LLTRTK102366;;URB. NATASHA ALTA MZ. D LT. 6;;;;-79.0460712;-8.116738083
19-2121500412;LLLFTK100865;;URB.SAN JOSE DE CALIFORNIA MZ E LT 4;;;;-79.03920045;-8.135614633
19-2121500409;LLTG0100863;;AV. COSTA RICA URB. MONSERRATE C2 3;;;;-79.0287839;-8.123141705
19-2121500408;LLTRG0100865;;AV. COSTA RICA URB. MONSERRATE D2 3;;;;-79.02940093;-8.123955149
19-2121500407;LLTRG0100862;;AV. COSTA RICA URB. MONSERRATE C2 1;;;;-79.02855461;-8.122843899
19-2121500406;LLTRG0100873;;CA. FRANCIA MOD. L 2-1;;;;-79.0303588;-8.124544922
